_id,Quarter,HB,HBT,HBTQF,CancerType,CancerTypeQF,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferrals31DayStandardQF,NumberOfEligibleReferralsTreatedWithin31Days,NumberOfEligibleReferralsTreatedWithin31DaysQF
12384,2019Q1,S08000024,S92000003,d,Colorectal,"",102,"",91,""
12385,2019Q1,S08000024,S92000003,d,Head & Neck,"",48,"",47,""
12386,2019Q1,S08000024,S92000003,d,Lung,"",175,"",171,""
12387,2019Q1,S08000024,S92000003,d,Lymphoma,"",30,"",30,""
12388,2019Q1,S08000024,S92000003,d,Melanoma,"",28,"",27,""
12389,2019Q1,S08000024,S92000003,d,Ovarian,"",11,"",11,""
12390,2019Q1,S08000024,S92000003,d,Upper GI,"",89,"",87,""
12391,2019Q1,S08000024,S92000003,d,Urological,"",183,"",164,""
12392,2019Q1,S08000025,S92000003,d,Colorectal,"",3,"",3,""
12393,2019Q1,S08000025,S92000003,d,Lung,"",3,"",3,""
12394,2019Q1,S08000025,S92000003,d,Melanoma,"",1,"",1,""
12395,2019Q1,S08000025,S92000003,d,Ovarian,"",2,"",2,""
12396,2019Q1,S08000025,S92000003,d,Upper GI,"",1,"",1,""
12397,2019Q1,S08000025,S92000003,d,Urological,"",2,"",1,""
12398,2019Q1,S08000026,S92000003,d,Breast,"",2,"",2,""
12399,2019Q1,S08000026,S92000003,d,Cervical,"",1,"",1,""
12400,2019Q1,S08000026,S92000003,d,Colorectal,"",3,"",3,""
12401,2019Q1,S08000026,S92000003,d,Head & Neck,"",1,"",1,""
12402,2019Q1,S08000026,S92000003,d,Lung,"",1,"",1,""
12403,2019Q1,S08000026,S92000003,d,Lymphoma,"",1,"",1,""
12404,2019Q1,S08000026,S92000003,d,Melanoma,"",2,"",2,""
12405,2019Q1,S08000026,S92000003,d,Ovarian,"",2,"",2,""
12406,2019Q1,S08000026,S92000003,d,Upper GI,"",3,"",3,""
12407,2019Q1,S08000026,S92000003,d,Urological,"",4,"",3,""
12408,2019Q1,S08000028,S92000003,d,Cervical,"",1,"",1,""
12409,2019Q1,S08000028,S92000003,d,Colorectal,"",8,"",5,""
12410,2019Q1,S08000028,S92000003,d,Head & Neck,"",1,"",1,""
12411,2019Q1,S08000028,S92000003,d,Lung,"",3,"",3,""
12412,2019Q1,S08000028,S92000003,d,Lymphoma,"",2,"",2,""
12413,2019Q1,S08000028,S92000003,d,Melanoma,"",1,"",1,""
12414,2019Q1,S08000028,S92000003,d,Ovarian,"",1,"",1,""
12415,2019Q1,S08000028,S92000003,d,Upper GI,"",5,"",5,""
12416,2019Q1,S08000028,S92000003,d,Urological,"",12,"",10,""
12417,2019Q1,S08000029,S92000003,d,Breast,"",59,"",56,""
12418,2019Q1,S08000029,S92000003,d,Cervical,"",3,"",2,""
12419,2019Q1,S08000029,S92000003,d,Colorectal,"",72,"",70,""
12420,2019Q1,S08000029,S92000003,d,Head & Neck,"",9,"",8,""
12421,2019Q1,S08000029,S92000003,d,Lung,"",73,"",66,""
12422,2019Q1,S08000029,S92000003,d,Lymphoma,"",17,"",17,""
12423,2019Q1,S08000029,S92000003,d,Melanoma,"",10,"",10,""
12424,2019Q1,S08000029,S92000003,d,Ovarian,"",5,"",5,""
12425,2019Q1,S08000029,S92000003,d,Upper GI,"",46,"",46,""
12426,2019Q1,S08000029,S92000003,d,Urological,"",119,"",106,""
12427,2019Q1,S08000030,S92000003,d,Breast,"",111,"",96,""
12428,2019Q1,S08000030,S92000003,d,Cervical,"",2,"",2,""
12429,2019Q1,S08000030,S92000003,d,Colorectal,"",62,"",61,""
12430,2019Q1,S08000030,S92000003,d,Head & Neck,"",14,"",13,""
12431,2019Q1,S08000030,S92000003,d,Lung,"",85,"",76,""
12432,2019Q1,S08000030,S92000003,d,Lymphoma,"",19,"",19,""
12433,2019Q1,S08000030,S92000003,d,Melanoma,"",25,"",23,""
12434,2019Q1,S08000030,S92000003,d,Ovarian,"",15,"",14,""
12435,2019Q1,S08000030,S92000003,d,Upper GI,"",46,"",44,""
12436,2019Q1,S08000030,S92000003,d,Urological,"",118,"",101,""
12437,2019Q1,S08000031,S92000003,d,Breast,"",417,"",353,""
12438,2019Q1,S08000031,S92000003,d,Cervical,"",17,"",17,""
12439,2019Q1,S08000031,S92000003,d,Colorectal,"",218,"",212,""
12440,2019Q1,S08000031,S92000003,d,Head & Neck,"",70,"",70,""
12441,2019Q1,S08000031,S92000003,d,Lung,"",293,"",284,""
12442,2019Q1,S08000031,S92000003,d,Lymphoma,"",73,"",73,""
12443,2019Q1,S08000031,S92000003,d,Melanoma,"",100,"",100,""
12444,2019Q1,S08000031,S92000003,d,Ovarian,"",33,"",33,""
12445,2019Q1,S08000031,S92000003,d,Upper GI,"",147,"",144,""
12446,2019Q1,S08000031,S92000003,d,Urological,"",356,"",336,""
12447,2019Q1,S08000032,S92000003,d,Breast,"",85,"",81,""
12448,2019Q1,S08000032,S92000003,d,Cervical,"",4,"",4,""
12449,2019Q1,S08000032,S92000003,d,Colorectal,"",83,"",83,""
12450,2019Q1,S08000032,S92000003,d,Head & Neck,"",37,"",37,""
12451,2019Q1,S08000032,S92000003,d,Lung,"",114,"",114,""
12452,2019Q1,S08000032,S92000003,d,Lymphoma,"",31,"",31,""
12453,2019Q1,S08000032,S92000003,d,Melanoma,"",36,"",36,""
12454,2019Q1,S08000032,S92000003,d,Ovarian,"",14,"",14,""
12455,2019Q1,S08000032,S92000003,d,Upper GI,"",60,"",60,""
12456,2019Q1,S08000032,S92000003,d,Urological,"",126,"",123,""
12457,2019Q2,S08000015,S92000003,d,Breast,"",107,"",98,""
12458,2019Q2,S08000015,S92000003,d,Cervical,"",5,"",5,""
12459,2019Q2,S08000015,S92000003,d,Colorectal,"",70,"",69,""
12460,2019Q2,S08000015,S92000003,d,Head & Neck,"",22,"",22,""
12461,2019Q2,S08000015,S92000003,d,Lung,"",70,"",70,""
12462,2019Q2,S08000015,S92000003,d,Lymphoma,"",5,"",5,""
12463,2019Q2,S08000015,S92000003,d,Melanoma,"",26,"",25,""
12464,2019Q2,S08000015,S92000003,d,Ovarian,"",11,"",11,""
12465,2019Q2,S08000015,S92000003,d,Upper GI,"",47,"",45,""
12466,2019Q2,S08000015,S92000003,d,Urological,"",95,"",95,""
12467,2019Q2,S08000016,S92000003,d,Breast,"",14,"",14,""
12468,2019Q2,S08000016,S92000003,d,Cervical,"",3,"",3,""
12469,2019Q2,S08000016,S92000003,d,Colorectal,"",19,"",19,""
12470,2019Q2,S08000016,S92000003,d,Head & Neck,"",7,"",7,""
12471,2019Q2,S08000016,S92000003,d,Lung,"",19,"",19,""
12472,2019Q2,S08000016,S92000003,d,Lymphoma,"",4,"",4,""
12473,2019Q2,S08000016,S92000003,d,Melanoma,"",4,"",4,""
12474,2019Q2,S08000016,S92000003,d,Ovarian,"",5,"",5,""
12475,2019Q2,S08000016,S92000003,d,Upper GI,"",17,"",17,""
12476,2019Q2,S08000016,S92000003,d,Urological,"",20,"",20,""
12477,2019Q2,S08000017,S92000003,d,Breast,"",24,"",24,""
12478,2019Q2,S08000017,S92000003,d,Cervical,"",5,"",5,""
12479,2019Q2,S08000017,S92000003,d,Colorectal,"",31,"",31,""
12480,2019Q2,S08000017,S92000003,d,Head & Neck,"",12,"",12,""
12481,2019Q2,S08000017,S92000003,d,Lung,"",25,"",24,""
12482,2019Q2,S08000017,S92000003,d,Lymphoma,"",15,"",15,""
12483,2019Q2,S08000017,S92000003,d,Melanoma,"",8,"",8,""
12484,2019Q2,S08000017,S92000003,d,Ovarian,"",8,"",8,""
12485,2019Q2,S08000017,S92000003,d,Upper GI,"",29,"",29,""
12486,2019Q2,S08000017,S92000003,d,Urological,"",47,"",42,""
12487,2019Q2,S08000019,S92000003,d,Breast,"",54,"",54,""
12488,2019Q2,S08000019,S92000003,d,Cervical,"",4,"",4,""
12489,2019Q2,S08000019,S92000003,d,Colorectal,"",48,"",43,""
12490,2019Q2,S08000019,S92000003,d,Head & Neck,"",18,"",18,""
12491,2019Q2,S08000019,S92000003,d,Lung,"",57,"",57,""
12492,2019Q2,S08000019,S92000003,d,Lymphoma,"",13,"",13,""
12493,2019Q2,S08000019,S92000003,d,Melanoma,"",12,"",11,""
12494,2019Q2,S08000019,S92000003,d,Ovarian,"",4,"",4,""
12495,2019Q2,S08000019,S92000003,d,Upper GI,"",43,"",42,""
12496,2019Q2,S08000019,S92000003,d,Urological,"",93,"",85,""
12497,2019Q2,S08000020,S92000003,d,Breast,"",139,"",137,""
12498,2019Q2,S08000020,S92000003,d,Cervical,"",6,"",5,""
12499,2019Q2,S08000020,S92000003,d,Colorectal,"",92,"",91,""
12500,2019Q2,S08000020,S92000003,d,Head & Neck,"",25,"",25,""
12501,2019Q2,S08000020,S92000003,d,Lung,"",118,"",110,""
12502,2019Q2,S08000020,S92000003,d,Lymphoma,"",33,"",32,""
12503,2019Q2,S08000020,S92000003,d,Melanoma,"",38,"",37,""
12504,2019Q2,S08000020,S92000003,d,Ovarian,"",8,"",8,""
12505,2019Q2,S08000020,S92000003,d,Upper GI,"",82,"",81,""
12506,2019Q2,S08000020,S92000003,d,Urological,"",200,"",171,""
12507,2019Q2,S08000022,S92000003,d,Breast,"",78,"",76,""
12508,2019Q2,S08000022,S92000003,d,Cervical,"",5,"",5,""
12509,2019Q2,S08000022,S92000003,d,Colorectal,"",67,"",59,""
12510,2019Q2,S08000022,S92000003,d,Head & Neck,"",5,"",5,""
12511,2019Q2,S08000022,S92000003,d,Lung,"",52,"",52,""
12512,2019Q2,S08000022,S92000003,d,Lymphoma,"",17,"",17,""
12513,2019Q2,S08000022,S92000003,d,Melanoma,"",18,"",14,""
12514,2019Q2,S08000022,S92000003,d,Ovarian,"",5,"",5,""
12515,2019Q2,S08000022,S92000003,d,Upper GI,"",31,"",31,""
12516,2019Q2,S08000022,S92000003,d,Urological,"",80,"",78,""
12517,2019Q2,S08000024,S92000003,d,Breast,"",237,"",221,""
12518,2019Q2,S08000024,S92000003,d,Cervical,"",10,"",9,""
12519,2019Q2,S08000024,S92000003,d,Colorectal,"",107,"",84,""
12520,2019Q2,S08000024,S92000003,d,Head & Neck,"",55,"",55,""
12521,2019Q2,S08000024,S92000003,d,Lung,"",155,"",151,""
12522,2019Q2,S08000024,S92000003,d,Lymphoma,"",25,"",25,""
12523,2019Q2,S08000024,S92000003,d,Melanoma,"",59,"",58,""
12524,2019Q2,S08000024,S92000003,d,Ovarian,"",18,"",17,""
12525,2019Q2,S08000024,S92000003,d,Upper GI,"",108,"",106,""
12526,2019Q2,S08000024,S92000003,d,Urological,"",195,"",177,""
12527,2019Q2,S08000025,S92000003,d,Colorectal,"",4,"",4,""
12528,2019Q2,S08000025,S92000003,d,Lung,"",3,"",2,""
12529,2019Q2,S08000025,S92000003,d,Lymphoma,"",1,"",1,""
12530,2019Q2,S08000025,S92000003,d,Melanoma,"",1,"",1,""
12531,2019Q2,S08000025,S92000003,d,Ovarian,"",1,"",1,""
12532,2019Q2,S08000025,S92000003,d,Upper GI,"",1,"",1,""
12533,2019Q2,S08000025,S92000003,d,Urological,"",2,"",2,""
12534,2019Q2,S08000026,S92000003,d,Breast,"",2,"",2,""
12535,2019Q2,S08000026,S92000003,d,Colorectal,"",3,"",3,""
12536,2019Q2,S08000026,S92000003,d,Lung,"",2,"",2,""
12537,2019Q2,S08000026,S92000003,d,Lymphoma,"",1,"",1,""
12538,2019Q2,S08000026,S92000003,d,Upper GI,"",2,"",2,""
12539,2019Q2,S08000026,S92000003,d,Urological,"",14,"",13,""
12540,2019Q2,S08000028,S92000003,d,Colorectal,"",9,"",9,""
12541,2019Q2,S08000028,S92000003,d,Head & Neck,"",2,"",2,""
12542,2019Q2,S08000028,S92000003,d,Lung,"",2,"",2,""
12543,2019Q2,S08000028,S92000003,d,Melanoma,"",1,"",1,""
12544,2019Q2,S08000028,S92000003,d,Ovarian,"",1,"",1,""
12545,2019Q2,S08000028,S92000003,d,Upper GI,"",6,"",6,""
12546,2019Q2,S08000028,S92000003,d,Urological,"",8,"",7,""
12547,2019Q2,S08000029,S92000003,d,Breast,"",51,"",46,""
12548,2019Q2,S08000029,S92000003,d,Cervical,"",6,"",6,""
12549,2019Q2,S08000029,S92000003,d,Colorectal,"",65,"",64,""
12550,2019Q2,S08000029,S92000003,d,Head & Neck,"",15,"",15,""
12551,2019Q2,S08000029,S92000003,d,Lung,"",92,"",90,""
12552,2019Q2,S08000029,S92000003,d,Lymphoma,"",21,"",21,""
12553,2019Q2,S08000029,S92000003,d,Melanoma,"",15,"",15,""
12554,2019Q2,S08000029,S92000003,d,Ovarian,"",8,"",7,""
12555,2019Q2,S08000029,S92000003,d,Upper GI,"",42,"",42,""
12556,2019Q2,S08000029,S92000003,d,Urological,"",100,"",83,""
12557,2019Q2,S08000030,S92000003,d,Breast,"",101,"",93,""
12558,2019Q2,S08000030,S92000003,d,Cervical,"",7,"",6,""
12559,2019Q2,S08000030,S92000003,d,Colorectal,"",73,"",73,""
12560,2019Q2,S08000030,S92000003,d,Head & Neck,"",20,"",20,""
12561,2019Q2,S08000030,S92000003,d,Lung,"",82,"",73,""
12562,2019Q2,S08000030,S92000003,d,Lymphoma,"",29,"",28,""
12563,2019Q2,S08000030,S92000003,d,Melanoma,"",30,"",29,""
12564,2019Q2,S08000030,S92000003,d,Ovarian,"",6,"",6,""
12565,2019Q2,S08000030,S92000003,d,Upper GI,"",50,"",50,""
12566,2019Q2,S08000030,S92000003,d,Urological,"",110,"",106,""
12567,2019Q2,S08000031,S92000003,d,Breast,"",420,"",371,""
12568,2019Q2,S08000031,S92000003,d,Cervical,"",15,"",15,""
12569,2019Q2,S08000031,S92000003,d,Colorectal,"",197,"",183,""
12570,2019Q2,S08000031,S92000003,d,Head & Neck,"",84,"",83,""
12571,2019Q2,S08000031,S92000003,d,Lung,"",361,"",343,""
12572,2019Q2,S08000031,S92000003,d,Lymphoma,"",72,"",72,""
12573,2019Q2,S08000031,S92000003,d,Melanoma,"",87,"",86,""
12574,2019Q2,S08000031,S92000003,d,Ovarian,"",42,"",39,""
12575,2019Q2,S08000031,S92000003,d,Upper GI,"",148,"",144,""
12576,2019Q2,S08000031,S92000003,d,Urological,"",352,"",327,""
12577,2019Q2,S08000032,S92000003,d,Breast,"",89,"",89,""
12578,2019Q2,S08000032,S92000003,d,Cervical,"",7,"",7,""
12579,2019Q2,S08000032,S92000003,d,Colorectal,"",90,"",84,""
12580,2019Q2,S08000032,S92000003,d,Head & Neck,"",40,"",40,""
12581,2019Q2,S08000032,S92000003,d,Lung,"",135,"",133,""
12582,2019Q2,S08000032,S92000003,d,Lymphoma,"",23,"",23,""
12583,2019Q2,S08000032,S92000003,d,Melanoma,"",42,"",41,""
12584,2019Q2,S08000032,S92000003,d,Ovarian,"",17,"",16,""
12585,2019Q2,S08000032,S92000003,d,Upper GI,"",55,"",54,""
12586,2019Q2,S08000032,S92000003,d,Urological,"",129,"",120,""
12587,2019Q3,S08000015,S92000003,d,Breast,"",118,"",112,""
12588,2019Q3,S08000015,S92000003,d,Cervical,"",3,"",3,""
12589,2019Q3,S08000015,S92000003,d,Colorectal,"",70,"",69,""
12590,2019Q3,S08000015,S92000003,d,Head & Neck,"",24,"",24,""
12591,2019Q3,S08000015,S92000003,d,Lung,"",75,"",75,""
12592,2019Q3,S08000015,S92000003,d,Lymphoma,"",12,"",12,""
12593,2019Q3,S08000015,S92000003,d,Melanoma,"",16,"",16,""
12594,2019Q3,S08000015,S92000003,d,Ovarian,"",6,"",6,""
12595,2019Q3,S08000015,S92000003,d,Upper GI,"",49,"",49,""
12596,2019Q3,S08000015,S92000003,d,Urological,"",75,"",75,""
12597,2019Q3,S08000016,S92000003,d,Breast,"",16,"",16,""
12598,2019Q3,S08000016,S92000003,d,Cervical,"",1,"",1,""
12599,2019Q3,S08000016,S92000003,d,Colorectal,"",17,"",17,""
12600,2019Q3,S08000016,S92000003,d,Head & Neck,"",5,"",5,""
12601,2019Q3,S08000016,S92000003,d,Lung,"",32,"",32,""
12602,2019Q3,S08000016,S92000003,d,Lymphoma,"",8,"",8,""
12603,2019Q3,S08000016,S92000003,d,Melanoma,"",8,"",8,""
12604,2019Q3,S08000016,S92000003,d,Ovarian,"",4,"",4,""
12605,2019Q3,S08000016,S92000003,d,Upper GI,"",25,"",25,""
12606,2019Q3,S08000016,S92000003,d,Urological,"",26,"",24,""
12607,2019Q3,S08000017,S92000003,d,Breast,"",27,"",27,""
12608,2019Q3,S08000017,S92000003,d,Cervical,"",3,"",3,""
12609,2019Q3,S08000017,S92000003,d,Colorectal,"",27,"",26,""
12610,2019Q3,S08000017,S92000003,d,Head & Neck,"",10,"",10,""
12611,2019Q3,S08000017,S92000003,d,Lung,"",37,"",37,""
12612,2019Q3,S08000017,S92000003,d,Lymphoma,"",10,"",10,""
12613,2019Q3,S08000017,S92000003,d,Melanoma,"",6,"",6,""
12614,2019Q3,S08000017,S92000003,d,Ovarian,"",4,"",4,""
12615,2019Q3,S08000017,S92000003,d,Upper GI,"",32,"",32,""
12616,2019Q3,S08000017,S92000003,d,Urological,"",49,"",43,""
12617,2019Q3,S08000019,S92000003,d,Breast,"",52,"",52,""
12618,2019Q3,S08000019,S92000003,d,Cervical,"",2,"",2,""
12619,2019Q3,S08000019,S92000003,d,Colorectal,"",44,"",43,""
12620,2019Q3,S08000019,S92000003,d,Head & Neck,"",13,"",13,""
12621,2019Q3,S08000019,S92000003,d,Lung,"",69,"",68,""
12622,2019Q3,S08000019,S92000003,d,Lymphoma,"",16,"",16,""
12623,2019Q3,S08000019,S92000003,d,Melanoma,"",16,"",15,""
12624,2019Q3,S08000019,S92000003,d,Ovarian,"",3,"",3,""
12625,2019Q3,S08000019,S92000003,d,Upper GI,"",31,"",30,""
12626,2019Q3,S08000019,S92000003,d,Urological,"",106,"",100,""
12627,2019Q3,S08000020,S92000003,d,Breast,"",126,"",123,""
12628,2019Q3,S08000020,S92000003,d,Cervical,"",7,"",7,""
12629,2019Q3,S08000020,S92000003,d,Colorectal,"",99,"",96,""
12630,2019Q3,S08000020,S92000003,d,Head & Neck,"",24,"",23,""
12631,2019Q3,S08000020,S92000003,d,Lung,"",125,"",122,""
12632,2019Q3,S08000020,S92000003,d,Lymphoma,"",42,"",42,""
12633,2019Q3,S08000020,S92000003,d,Melanoma,"",39,"",38,""
12634,2019Q3,S08000020,S92000003,d,Ovarian,"",16,"",16,""
12635,2019Q3,S08000020,S92000003,d,Upper GI,"",86,"",85,""
12636,2019Q3,S08000020,S92000003,d,Urological,"",203,"",176,""
12637,2019Q3,S08000022,S92000003,d,Breast,"",80,"",79,""
12638,2019Q3,S08000022,S92000003,d,Cervical,"",3,"",3,""
12639,2019Q3,S08000022,S92000003,d,Colorectal,"",57,"",51,""
12640,2019Q3,S08000022,S92000003,d,Head & Neck,"",17,"",17,""
12641,2019Q3,S08000022,S92000003,d,Lung,"",58,"",58,""
12642,2019Q3,S08000022,S92000003,d,Lymphoma,"",19,"",18,""
12643,2019Q3,S08000022,S92000003,d,Melanoma,"",19,"",19,""
12644,2019Q3,S08000022,S92000003,d,Ovarian,"",4,"",4,""
12645,2019Q3,S08000022,S92000003,d,Upper GI,"",49,"",48,""
12646,2019Q3,S08000022,S92000003,d,Urological,"",75,"",69,""
12647,2019Q3,S08000024,S92000003,d,Breast,"",226,"",224,""
12648,2019Q3,S08000024,S92000003,d,Cervical,"",14,"",14,""
12649,2019Q3,S08000024,S92000003,d,Colorectal,"",116,"",93,""
12650,2019Q3,S08000024,S92000003,d,Head & Neck,"",53,"",51,""
12651,2019Q3,S08000024,S92000003,d,Lung,"",159,"",154,""
12652,2019Q3,S08000024,S92000003,d,Lymphoma,"",31,"",31,""
12653,2019Q3,S08000024,S92000003,d,Melanoma,"",86,"",85,""
12654,2019Q3,S08000024,S92000003,d,Ovarian,"",16,"",16,""
12655,2019Q3,S08000024,S92000003,d,Upper GI,"",97,"",97,""
12656,2019Q3,S08000024,S92000003,d,Urological,"",180,"",161,""
12657,2019Q3,S08000025,S92000003,d,Colorectal,"",2,"",2,""
12658,2019Q3,S08000025,S92000003,d,Lung,"",2,"",2,""
12659,2019Q3,S08000025,S92000003,d,Ovarian,"",1,"",1,""
12660,2019Q3,S08000025,S92000003,d,Urological,"",2,"",2,""
12661,2019Q3,S08000026,S92000003,d,Breast,"",1,"",1,""
12662,2019Q3,S08000026,S92000003,d,Colorectal,"",6,"",6,""
12663,2019Q3,S08000026,S92000003,d,Lung,"",2,"",2,""
12664,2019Q3,S08000026,S92000003,d,Lymphoma,"",1,"",1,""
12665,2019Q3,S08000026,S92000003,d,Ovarian,"",2,"",2,""
12666,2019Q3,S08000026,S92000003,d,Upper GI,"",6,"",6,""
12667,2019Q3,S08000026,S92000003,d,Urological,"",5,"",4,""
12668,2019Q3,S08000028,S92000003,d,Colorectal,"",11,"",10,""
12669,2019Q3,S08000028,S92000003,d,Head & Neck,"",2,"",1,""
12670,2019Q3,S08000028,S92000003,d,Lung,"",10,"",10,""
12671,2019Q3,S08000028,S92000003,d,Lymphoma,"",1,"",1,""
12672,2019Q3,S08000028,S92000003,d,Melanoma,"",3,"",3,""
12673,2019Q3,S08000028,S92000003,d,Ovarian,"",1,"",1,""
12674,2019Q3,S08000028,S92000003,d,Upper GI,"",5,"",4,""
12675,2019Q3,S08000028,S92000003,d,Urological,"",8,"",7,""
12676,2019Q3,S08000029,S92000003,d,Breast,"",37,"",33,""
12677,2019Q3,S08000029,S92000003,d,Cervical,"",3,"",3,""
12678,2019Q3,S08000029,S92000003,d,Colorectal,"",64,"",64,""
12679,2019Q3,S08000029,S92000003,d,Head & Neck,"",17,"",17,""
12680,2019Q3,S08000029,S92000003,d,Lung,"",97,"",93,""
12681,2019Q3,S08000029,S92000003,d,Lymphoma,"",14,"",14,""
12682,2019Q3,S08000029,S92000003,d,Melanoma,"",14,"",14,""
12683,2019Q3,S08000029,S92000003,d,Ovarian,"",4,"",4,""
12684,2019Q3,S08000029,S92000003,d,Upper GI,"",52,"",52,""
12685,2019Q3,S08000029,S92000003,d,Urological,"",119,"",111,""
12686,2019Q3,S08000030,S92000003,d,Breast,"",110,"",106,""
12687,2019Q3,S08000030,S92000003,d,Cervical,"",10,"",10,""
12688,2019Q3,S08000030,S92000003,d,Colorectal,"",66,"",66,""
12689,2019Q3,S08000030,S92000003,d,Head & Neck,"",19,"",18,""
12690,2019Q3,S08000030,S92000003,d,Lung,"",82,"",79,""
12691,2019Q3,S08000030,S92000003,d,Lymphoma,"",23,"",23,""
12692,2019Q3,S08000030,S92000003,d,Melanoma,"",7,"",6,""
12693,2019Q3,S08000030,S92000003,d,Ovarian,"",3,"",3,""
12694,2019Q3,S08000030,S92000003,d,Upper GI,"",63,"",63,""
12695,2019Q3,S08000030,S92000003,d,Urological,"",115,"",113,""
12696,2019Q3,S08000031,S92000003,d,Breast,"",353,"",318,""
12697,2019Q3,S08000031,S92000003,d,Cervical,"",22,"",22,""
12698,2019Q3,S08000031,S92000003,d,Colorectal,"",201,"",181,""
12699,2019Q3,S08000031,S92000003,d,Head & Neck,"",84,"",80,""
12700,2019Q3,S08000031,S92000003,d,Lung,"",350,"",338,""
12701,2019Q3,S08000031,S92000003,d,Lymphoma,"",78,"",78,""
12702,2019Q3,S08000031,S92000003,d,Melanoma,"",110,"",109,""
12703,2019Q3,S08000031,S92000003,d,Ovarian,"",34,"",34,""
12704,2019Q3,S08000031,S92000003,d,Upper GI,"",158,"",156,""
12705,2019Q3,S08000031,S92000003,d,Urological,"",323,"",301,""
12706,2019Q3,S08000032,S92000003,d,Breast,"",84,"",82,""
12707,2019Q3,S08000032,S92000003,d,Cervical,"",7,"",7,""
12708,2019Q3,S08000032,S92000003,d,Colorectal,"",80,"",78,""
12709,2019Q3,S08000032,S92000003,d,Head & Neck,"",26,"",26,""
12710,2019Q3,S08000032,S92000003,d,Lung,"",123,"",121,""
12711,2019Q3,S08000032,S92000003,d,Lymphoma,"",29,"",29,""
12712,2019Q3,S08000032,S92000003,d,Melanoma,"",51,"",50,""
12713,2019Q3,S08000032,S92000003,d,Ovarian,"",9,"",9,""
12714,2019Q3,S08000032,S92000003,d,Upper GI,"",49,"",48,""
12715,2019Q3,S08000032,S92000003,d,Urological,"",96,"",91,""
12716,2019Q4,S08000015,S92000003,d,Breast,"",95,"",88,""
12717,2019Q4,S08000015,S92000003,d,Cervical,"",9,"",7,""
12718,2019Q4,S08000015,S92000003,d,Colorectal,"",50,"",49,""
12719,2019Q4,S08000015,S92000003,d,Head & Neck,"",19,"",19,""
12720,2019Q4,S08000015,S92000003,d,Lung,"",58,"",58,""
12721,2019Q4,S08000015,S92000003,d,Lymphoma,"",11,"",11,""
12722,2019Q4,S08000015,S92000003,d,Melanoma,"",29,"",29,""
12723,2019Q4,S08000015,S92000003,d,Ovarian,"",9,"",9,""
12724,2019Q4,S08000015,S92000003,d,Upper GI,"",47,"",46,""
12725,2019Q4,S08000015,S92000003,d,Urological,"",67,"",66,""
12726,2019Q4,S08000016,S92000003,d,Breast,"",17,"",17,""
12727,2019Q4,S08000016,S92000003,d,Colorectal,"",23,"",22,""
12728,2019Q4,S08000016,S92000003,d,Head & Neck,"",6,"",6,""
12729,2019Q4,S08000016,S92000003,d,Lung,"",20,"",20,""
12730,2019Q4,S08000016,S92000003,d,Lymphoma,"",9,"",9,""
12731,2019Q4,S08000016,S92000003,d,Melanoma,"",5,"",5,""
12732,2019Q4,S08000016,S92000003,d,Ovarian,"",1,"",1,""
12733,2019Q4,S08000016,S92000003,d,Upper GI,"",10,"",10,""
12734,2019Q4,S08000016,S92000003,d,Urological,"",16,"",16,""
12735,2019Q4,S08000017,S92000003,d,Breast,"",28,"",28,""
12736,2019Q4,S08000017,S92000003,d,Colorectal,"",36,"",35,""
12737,2019Q4,S08000017,S92000003,d,Head & Neck,"",8,"",8,""
12738,2019Q4,S08000017,S92000003,d,Lung,"",39,"",39,""
12739,2019Q4,S08000017,S92000003,d,Lymphoma,"",14,"",14,""
12740,2019Q4,S08000017,S92000003,d,Melanoma,"",11,"",11,""
12741,2019Q4,S08000017,S92000003,d,Ovarian,"",3,"",3,""
12742,2019Q4,S08000017,S92000003,d,Upper GI,"",38,"",38,""
12743,2019Q4,S08000017,S92000003,d,Urological,"",53,"",44,""
12744,2019Q4,S08000019,S92000003,d,Breast,"",43,"",43,""
12745,2019Q4,S08000019,S92000003,d,Cervical,"",3,"",3,""
12746,2019Q4,S08000019,S92000003,d,Colorectal,"",52,"",50,""
12747,2019Q4,S08000019,S92000003,d,Head & Neck,"",22,"",22,""
12748,2019Q4,S08000019,S92000003,d,Lung,"",57,"",57,""
12749,2019Q4,S08000019,S92000003,d,Lymphoma,"",14,"",14,""
12750,2019Q4,S08000019,S92000003,d,Melanoma,"",16,"",16,""
12751,2019Q4,S08000019,S92000003,d,Ovarian,"",4,"",4,""
12752,2019Q4,S08000019,S92000003,d,Upper GI,"",44,"",44,""
12753,2019Q4,S08000019,S92000003,d,Urological,"",89,"",88,""
12754,2019Q4,S08000020,S92000003,d,Breast,"",128,"",125,""
12755,2019Q4,S08000020,S92000003,d,Cervical,"",7,"",7,""
12756,2019Q4,S08000020,S92000003,d,Colorectal,"",84,"",65,""
12757,2019Q4,S08000020,S92000003,d,Head & Neck,"",33,"",33,""
12758,2019Q4,S08000020,S92000003,d,Lung,"",98,"",95,""
12759,2019Q4,S08000020,S92000003,d,Lymphoma,"",38,"",37,""
12760,2019Q4,S08000020,S92000003,d,Melanoma,"",49,"",47,""
12761,2019Q4,S08000020,S92000003,d,Ovarian,"",16,"",16,""
12762,2019Q4,S08000020,S92000003,d,Upper GI,"",65,"",64,""
12763,2019Q4,S08000020,S92000003,d,Urological,"",203,"",179,""
