_id,MonthOfDelay,CA,CAQF,AgeGroup,AgeGroupQF,ReasonForDelay,ReasonForDelayQF,NumberOfDelayedBedDays,AverageDailyNumberOfDelayedBeds
17677,201905,S12000038,"",18-74,"",Health and Social Care Reasons,"",127,4
17678,201905,S12000038,"",18-74,"",Patient and Family Related Reasons,"",19,1
17679,201905,S12000038,"",18-74,"",Code 9 AWI,"",9,0
17680,201905,S12000038,"",18-74,"",Code 9 Non-AWI,"",31,1
17681,201905,S12000038,"",75plus,"",All Delay Reasons,d,317,10
17682,201905,S12000038,"",75plus,"",Health and Social Care Reasons,"",303,10
17683,201905,S12000038,"",75plus,"",Patient and Family Related Reasons,"",7,0
17684,201905,S12000038,"",75plus,"",Code 9 AWI,"",7,0
17685,201905,S12000038,"",75plus,"",Code 9 Non-AWI,"",0,0
17686,201905,S12000039,"",18plus,d,All Delay Reasons,d,629,20
17687,201905,S12000039,"",18plus,d,Health and Social Care Reasons,"",519,17
17688,201905,S12000039,"",18plus,d,Patient and Family Related Reasons,"",43,1
17689,201905,S12000039,"",18plus,d,Code 9 AWI,"",24,1
17690,201905,S12000039,"",18plus,d,Code 9 Non-AWI,"",43,1
17691,201905,S12000039,"",18-74,"",All Delay Reasons,d,214,7
17692,201905,S12000039,"",18-74,"",Health and Social Care Reasons,"",125,4
17693,201905,S12000039,"",18-74,"",Patient and Family Related Reasons,"",22,1
17694,201905,S12000039,"",18-74,"",Code 9 AWI,"",24,1
17695,201905,S12000039,"",18-74,"",Code 9 Non-AWI,"",43,1
17696,201905,S12000039,"",75plus,"",All Delay Reasons,d,415,13
17697,201905,S12000039,"",75plus,"",Health and Social Care Reasons,"",394,13
17698,201905,S12000039,"",75plus,"",Patient and Family Related Reasons,"",21,1
17699,201905,S12000039,"",75plus,"",Code 9 AWI,"",0,0
17700,201905,S12000039,"",75plus,"",Code 9 Non-AWI,"",0,0
17701,201905,S12000040,"",18plus,d,All Delay Reasons,d,1289,42
17702,201905,S12000040,"",18plus,d,Health and Social Care Reasons,"",1153,37
17703,201905,S12000040,"",18plus,d,Patient and Family Related Reasons,"",10,0
17704,201905,S12000040,"",18plus,d,Code 9 AWI,"",124,4
17705,201905,S12000040,"",18plus,d,Code 9 Non-AWI,"",2,0
17706,201905,S12000040,"",18-74,"",All Delay Reasons,d,430,14
17707,201905,S12000040,"",18-74,"",Health and Social Care Reasons,"",387,12
17708,201905,S12000040,"",18-74,"",Patient and Family Related Reasons,"",10,0
17709,201905,S12000040,"",18-74,"",Code 9 AWI,"",31,1
17710,201905,S12000040,"",18-74,"",Code 9 Non-AWI,"",2,0
17711,201905,S12000040,"",75plus,"",All Delay Reasons,d,859,28
17712,201905,S12000040,"",75plus,"",Health and Social Care Reasons,"",766,25
17713,201905,S12000040,"",75plus,"",Patient and Family Related Reasons,"",0,0
17714,201905,S12000040,"",75plus,"",Code 9 AWI,"",93,3
17715,201905,S12000040,"",75plus,"",Code 9 Non-AWI,"",0,0
17716,201905,S12000041,"",18plus,d,All Delay Reasons,d,385,12
17717,201905,S12000041,"",18plus,d,Health and Social Care Reasons,"",340,11
17718,201905,S12000041,"",18plus,d,Patient and Family Related Reasons,"",0,0
17719,201905,S12000041,"",18plus,d,Code 9 AWI,"",7,0
17720,201905,S12000041,"",18plus,d,Code 9 Non-AWI,"",38,1
17721,201905,S12000041,"",18-74,"",All Delay Reasons,d,124,4
17722,201905,S12000041,"",18-74,"",Health and Social Care Reasons,"",86,3
17723,201905,S12000041,"",18-74,"",Patient and Family Related Reasons,"",0,0
17724,201905,S12000041,"",18-74,"",Code 9 AWI,"",0,0
17725,201905,S12000041,"",18-74,"",Code 9 Non-AWI,"",38,1
17726,201905,S12000041,"",75plus,"",All Delay Reasons,d,261,8
17727,201905,S12000041,"",75plus,"",Health and Social Care Reasons,"",254,8
17728,201905,S12000041,"",75plus,"",Patient and Family Related Reasons,"",0,0
17729,201905,S12000041,"",75plus,"",Code 9 AWI,"",7,0
17730,201905,S12000041,"",75plus,"",Code 9 Non-AWI,"",0,0
17731,201905,S12000042,"",18plus,d,All Delay Reasons,d,1005,32
17732,201905,S12000042,"",18plus,d,Health and Social Care Reasons,"",505,16
17733,201905,S12000042,"",18plus,d,Patient and Family Related Reasons,"",31,1
17734,201905,S12000042,"",18plus,d,Code 9 AWI,"",106,3
17735,201905,S12000042,"",18plus,d,Code 9 Non-AWI,"",363,12
17736,201905,S12000042,"",18-74,"",All Delay Reasons,d,527,17
17737,201905,S12000042,"",18-74,"",Health and Social Care Reasons,"",124,4
17738,201905,S12000042,"",18-74,"",Patient and Family Related Reasons,"",0,0
17739,201905,S12000042,"",18-74,"",Code 9 AWI,"",62,2
17740,201905,S12000042,"",18-74,"",Code 9 Non-AWI,"",341,11
17741,201905,S12000042,"",75plus,"",All Delay Reasons,d,478,15
17742,201905,S12000042,"",75plus,"",Health and Social Care Reasons,"",381,12
17743,201905,S12000042,"",75plus,"",Patient and Family Related Reasons,"",31,1
17744,201905,S12000042,"",75plus,"",Code 9 AWI,"",44,1
17745,201905,S12000042,"",75plus,"",Code 9 Non-AWI,"",22,1
17746,201905,S12000045,"",18plus,d,All Delay Reasons,d,276,9
17747,201905,S12000045,"",18plus,d,Health and Social Care Reasons,"",206,7
17748,201905,S12000045,"",18plus,d,Patient and Family Related Reasons,"",8,0
17749,201905,S12000045,"",18plus,d,Code 9 AWI,"",31,1
17750,201905,S12000045,"",18plus,d,Code 9 Non-AWI,"",31,1
17751,201905,S12000045,"",18-74,"",All Delay Reasons,d,110,4
17752,201905,S12000045,"",18-74,"",Health and Social Care Reasons,"",79,3
17753,201905,S12000045,"",18-74,"",Patient and Family Related Reasons,"",0,0
17754,201905,S12000045,"",18-74,"",Code 9 AWI,"",0,0
17755,201905,S12000045,"",18-74,"",Code 9 Non-AWI,"",31,1
17756,201905,S12000045,"",75plus,"",All Delay Reasons,d,166,5
17757,201905,S12000045,"",75plus,"",Health and Social Care Reasons,"",127,4
17758,201905,S12000045,"",75plus,"",Patient and Family Related Reasons,"",8,0
17759,201905,S12000045,"",75plus,"",Code 9 AWI,"",31,1
17760,201905,S12000045,"",75plus,"",Code 9 Non-AWI,"",0,0
17761,201905,S12000047,"",18plus,d,All Delay Reasons,d,3487,112
17762,201905,S12000047,"",18plus,d,Health and Social Care Reasons,"",2706,87
17763,201905,S12000047,"",18plus,d,Patient and Family Related Reasons,"",53,2
17764,201905,S12000047,"",18plus,d,Code 9 AWI,"",587,19
17765,201905,S12000047,"",18plus,d,Code 9 Non-AWI,"",141,5
17766,201905,S12000047,"",18-74,"",All Delay Reasons,d,1441,46
17767,201905,S12000047,"",18-74,"",Health and Social Care Reasons,"",1049,34
17768,201905,S12000047,"",18-74,"",Patient and Family Related Reasons,"",47,2
17769,201905,S12000047,"",18-74,"",Code 9 AWI,"",252,8
17770,201905,S12000047,"",18-74,"",Code 9 Non-AWI,"",93,3
17771,201905,S12000047,"",75plus,"",All Delay Reasons,d,2046,66
17772,201905,S12000047,"",75plus,"",Health and Social Care Reasons,"",1657,53
17773,201905,S12000047,"",75plus,"",Patient and Family Related Reasons,"",6,0
17774,201905,S12000047,"",75plus,"",Code 9 AWI,"",335,11
17775,201905,S12000047,"",75plus,"",Code 9 Non-AWI,"",48,2
17776,201905,S12000048,"",18plus,d,All Delay Reasons,d,968,31
17777,201905,S12000048,"",18plus,d,Health and Social Care Reasons,"",685,22
17778,201905,S12000048,"",18plus,d,Patient and Family Related Reasons,"",4,0
17779,201905,S12000048,"",18plus,d,Code 9 AWI,"",155,5
17780,201905,S12000048,"",18plus,d,Code 9 Non-AWI,"",124,4
17781,201905,S12000048,"",18-74,"",All Delay Reasons,d,360,12
17782,201905,S12000048,"",18-74,"",Health and Social Care Reasons,"",229,7
17783,201905,S12000048,"",18-74,"",Patient and Family Related Reasons,"",1,0
17784,201905,S12000048,"",18-74,"",Code 9 AWI,"",37,1
17785,201905,S12000048,"",18-74,"",Code 9 Non-AWI,"",93,3
17786,201905,S12000048,"",75plus,"",All Delay Reasons,d,608,20
17787,201905,S12000048,"",75plus,"",Health and Social Care Reasons,"",456,15
17788,201905,S12000048,"",75plus,"",Patient and Family Related Reasons,"",3,0
17789,201905,S12000048,"",75plus,"",Code 9 AWI,"",118,4
17790,201905,S12000048,"",75plus,"",Code 9 Non-AWI,"",31,1
17791,201905,S12000049,"",18plus,d,All Delay Reasons,d,3475,112
17792,201905,S12000049,"",18plus,d,Health and Social Care Reasons,"",2329,75
17793,201905,S12000049,"",18plus,d,Patient and Family Related Reasons,"",228,7
17794,201905,S12000049,"",18plus,d,Code 9 AWI,"",626,20
17795,201905,S12000049,"",18plus,d,Code 9 Non-AWI,"",292,9
17796,201905,S12000049,"",18-74,"",All Delay Reasons,d,1899,61
17797,201905,S12000049,"",18-74,"",Health and Social Care Reasons,"",1077,35
17798,201905,S12000049,"",18-74,"",Patient and Family Related Reasons,"",146,5
17799,201905,S12000049,"",18-74,"",Code 9 AWI,"",384,12
17800,201905,S12000049,"",18-74,"",Code 9 Non-AWI,"",292,9
17801,201905,S12000049,"",75plus,"",All Delay Reasons,d,1576,51
17802,201905,S12000049,"",75plus,"",Health and Social Care Reasons,"",1252,40
17803,201905,S12000049,"",75plus,"",Patient and Family Related Reasons,"",82,3
17804,201905,S12000049,"",75plus,"",Code 9 AWI,"",242,8
17805,201905,S12000049,"",75plus,"",Code 9 Non-AWI,"",0,0
17806,201905,S12000050,"",18plus,d,All Delay Reasons,d,3652,118
17807,201905,S12000050,"",18plus,d,Health and Social Care Reasons,"",2850,92
17808,201905,S12000050,"",18plus,d,Patient and Family Related Reasons,"",47,2
17809,201905,S12000050,"",18plus,d,Code 9 AWI,"",537,17
17810,201905,S12000050,"",18plus,d,Code 9 Non-AWI,"",218,7
17811,201905,S12000050,"",18-74,"",All Delay Reasons,d,1306,42
17812,201905,S12000050,"",18-74,"",Health and Social Care Reasons,"",920,30
17813,201905,S12000050,"",18-74,"",Patient and Family Related Reasons,"",0,0
17814,201905,S12000050,"",18-74,"",Code 9 AWI,"",208,7
17815,201905,S12000050,"",18-74,"",Code 9 Non-AWI,"",178,6
17816,201905,S12000050,"",75plus,"",All Delay Reasons,d,2346,76
17817,201905,S12000050,"",75plus,"",Health and Social Care Reasons,"",1930,62
17818,201905,S12000050,"",75plus,"",Patient and Family Related Reasons,"",47,2
17819,201905,S12000050,"",75plus,"",Code 9 AWI,"",329,11
17820,201905,S12000050,"",75plus,"",Code 9 Non-AWI,"",40,1
17821,201905,"",:,18plus,d,All Delay Reasons,d,0,0
17822,201905,"",:,18plus,d,Health and Social Care Reasons,"",0,0
17823,201905,"",:,18plus,d,Patient and Family Related Reasons,"",0,0
17824,201905,"",:,18plus,d,Code 9 AWI,"",0,0
17825,201905,"",:,18plus,d,Code 9 Non-AWI,"",0,0
17826,201905,"",:,18-74,"",All Delay Reasons,d,0,0
17827,201905,"",:,18-74,"",Health and Social Care Reasons,"",0,0
17828,201905,"",:,18-74,"",Patient and Family Related Reasons,"",0,0
17829,201905,"",:,18-74,"",Code 9 AWI,"",0,0
17830,201905,"",:,18-74,"",Code 9 Non-AWI,"",0,0
17831,201905,"",:,75plus,"",All Delay Reasons,d,0,0
17832,201905,"",:,75plus,"",Health and Social Care Reasons,"",0,0
17833,201905,"",:,75plus,"",Patient and Family Related Reasons,"",0,0
17834,201905,"",:,75plus,"",Code 9 AWI,"",0,0
17835,201905,"",:,75plus,"",Code 9 Non-AWI,"",0,0
17836,201905,S92000003,d,18plus,d,All Delay Reasons,d,45061,1454
17837,201905,S92000003,d,18plus,d,Health and Social Care Reasons,"",35310,1139
17838,201905,S92000003,d,18plus,d,Patient and Family Related Reasons,"",1334,43
17839,201905,S92000003,d,18plus,d,Code 9 AWI,"",6069,196
17840,201905,S92000003,d,18plus,d,Code 9 Non-AWI,"",2348,76
17841,201905,S92000003,d,18-74,"",All Delay Reasons,d,15199,490
17842,201905,S92000003,d,18-74,"",Health and Social Care Reasons,"",10431,336
17843,201905,S92000003,d,18-74,"",Patient and Family Related Reasons,"",525,17
17844,201905,S92000003,d,18-74,"",Code 9 AWI,"",2466,80
17845,201905,S92000003,d,18-74,"",Code 9 Non-AWI,"",1777,57
17846,201905,S92000003,d,75plus,"",All Delay Reasons,d,29862,963
17847,201905,S92000003,d,75plus,"",Health and Social Care Reasons,"",24879,803
17848,201905,S92000003,d,75plus,"",Patient and Family Related Reasons,"",809,26
17849,201905,S92000003,d,75plus,"",Code 9 AWI,"",3603,116
17850,201905,S92000003,d,75plus,"",Code 9 Non-AWI,"",571,18
17851,201906,S12000005,"",18plus,d,All Delay Reasons,d,180,6
17852,201906,S12000005,"",18plus,d,Health and Social Care Reasons,"",117,4
17853,201906,S12000005,"",18plus,d,Patient and Family Related Reasons,"",5,0
17854,201906,S12000005,"",18plus,d,Code 9 AWI,"",0,0
17855,201906,S12000005,"",18plus,d,Code 9 Non-AWI,"",58,2
17856,201906,S12000005,"",18-74,"",All Delay Reasons,d,95,3
17857,201906,S12000005,"",18-74,"",Health and Social Care Reasons,"",47,2
17858,201906,S12000005,"",18-74,"",Patient and Family Related Reasons,"",0,0
17859,201906,S12000005,"",18-74,"",Code 9 AWI,"",0,0
17860,201906,S12000005,"",18-74,"",Code 9 Non-AWI,"",48,2
17861,201906,S12000005,"",75plus,"",All Delay Reasons,d,85,3
17862,201906,S12000005,"",75plus,"",Health and Social Care Reasons,"",70,2
17863,201906,S12000005,"",75plus,"",Patient and Family Related Reasons,"",5,0
17864,201906,S12000005,"",75plus,"",Code 9 AWI,"",0,0
17865,201906,S12000005,"",75plus,"",Code 9 Non-AWI,"",10,0
17866,201906,S12000006,"",18plus,d,All Delay Reasons,d,1690,56
17867,201906,S12000006,"",18plus,d,Health and Social Care Reasons,"",1409,47
17868,201906,S12000006,"",18plus,d,Patient and Family Related Reasons,"",58,2
17869,201906,S12000006,"",18plus,d,Code 9 AWI,"",193,6
17870,201906,S12000006,"",18plus,d,Code 9 Non-AWI,"",30,1
17871,201906,S12000006,"",18-74,"",All Delay Reasons,d,469,16
17872,201906,S12000006,"",18-74,"",Health and Social Care Reasons,"",366,12
17873,201906,S12000006,"",18-74,"",Patient and Family Related Reasons,"",20,1
17874,201906,S12000006,"",18-74,"",Code 9 AWI,"",53,2
17875,201906,S12000006,"",18-74,"",Code 9 Non-AWI,"",30,1
17876,201906,S12000006,"",75plus,"",All Delay Reasons,d,1221,41
17877,201906,S12000006,"",75plus,"",Health and Social Care Reasons,"",1043,35
17878,201906,S12000006,"",75plus,"",Patient and Family Related Reasons,"",38,1
17879,201906,S12000006,"",75plus,"",Code 9 AWI,"",140,5
17880,201906,S12000006,"",75plus,"",Code 9 Non-AWI,"",0,0
17881,201906,S12000008,"",18plus,d,All Delay Reasons,d,287,10
17882,201906,S12000008,"",18plus,d,Health and Social Care Reasons,"",106,4
17883,201906,S12000008,"",18plus,d,Patient and Family Related Reasons,"",0,0
17884,201906,S12000008,"",18plus,d,Code 9 AWI,"",48,2
17885,201906,S12000008,"",18plus,d,Code 9 Non-AWI,"",133,4
17886,201906,S12000008,"",18-74,"",All Delay Reasons,d,59,2
17887,201906,S12000008,"",18-74,"",Health and Social Care Reasons,"",37,1
17888,201906,S12000008,"",18-74,"",Patient and Family Related Reasons,"",0,0
17889,201906,S12000008,"",18-74,"",Code 9 AWI,"",22,1
17890,201906,S12000008,"",18-74,"",Code 9 Non-AWI,"",0,0
17891,201906,S12000008,"",75plus,"",All Delay Reasons,d,228,8
17892,201906,S12000008,"",75plus,"",Health and Social Care Reasons,"",69,2
17893,201906,S12000008,"",75plus,"",Patient and Family Related Reasons,"",0,0
17894,201906,S12000008,"",75plus,"",Code 9 AWI,"",26,1
17895,201906,S12000008,"",75plus,"",Code 9 Non-AWI,"",133,4
17896,201906,S12000010,"",18plus,d,All Delay Reasons,d,653,22
17897,201906,S12000010,"",18plus,d,Health and Social Care Reasons,"",650,22
17898,201906,S12000010,"",18plus,d,Patient and Family Related Reasons,"",0,0
17899,201906,S12000010,"",18plus,d,Code 9 AWI,"",3,0
17900,201906,S12000010,"",18plus,d,Code 9 Non-AWI,"",0,0
17901,201906,S12000010,"",18-74,"",All Delay Reasons,d,174,6
17902,201906,S12000010,"",18-74,"",Health and Social Care Reasons,"",174,6
17903,201906,S12000010,"",18-74,"",Patient and Family Related Reasons,"",0,0
17904,201906,S12000010,"",18-74,"",Code 9 AWI,"",0,0
17905,201906,S12000010,"",18-74,"",Code 9 Non-AWI,"",0,0
17906,201906,S12000010,"",75plus,"",All Delay Reasons,d,479,16
17907,201906,S12000010,"",75plus,"",Health and Social Care Reasons,"",476,16
17908,201906,S12000010,"",75plus,"",Patient and Family Related Reasons,"",0,0
17909,201906,S12000010,"",75plus,"",Code 9 AWI,"",3,0
17910,201906,S12000010,"",75plus,"",Code 9 Non-AWI,"",0,0
17911,201906,S12000011,"",18plus,d,All Delay Reasons,d,96,3
17912,201906,S12000011,"",18plus,d,Health and Social Care Reasons,"",94,3
17913,201906,S12000011,"",18plus,d,Patient and Family Related Reasons,"",0,0
17914,201906,S12000011,"",18plus,d,Code 9 AWI,"",2,0
17915,201906,S12000011,"",18plus,d,Code 9 Non-AWI,"",0,0
17916,201906,S12000011,"",18-74,"",All Delay Reasons,d,5,0
17917,201906,S12000011,"",18-74,"",Health and Social Care Reasons,"",5,0
17918,201906,S12000011,"",18-74,"",Patient and Family Related Reasons,"",0,0
17919,201906,S12000011,"",18-74,"",Code 9 AWI,"",0,0
17920,201906,S12000011,"",18-74,"",Code 9 Non-AWI,"",0,0
17921,201906,S12000011,"",75plus,"",All Delay Reasons,d,91,3
17922,201906,S12000011,"",75plus,"",Health and Social Care Reasons,"",89,3
17923,201906,S12000011,"",75plus,"",Patient and Family Related Reasons,"",0,0
17924,201906,S12000011,"",75plus,"",Code 9 AWI,"",2,0
17925,201906,S12000011,"",75plus,"",Code 9 Non-AWI,"",0,0
17926,201906,S12000013,"",18plus,d,All Delay Reasons,d,583,19
17927,201906,S12000013,"",18plus,d,Health and Social Care Reasons,"",237,8
17928,201906,S12000013,"",18plus,d,Patient and Family Related Reasons,"",0,0
17929,201906,S12000013,"",18plus,d,Code 9 AWI,"",0,0
17930,201906,S12000013,"",18plus,d,Code 9 Non-AWI,"",346,12
17931,201906,S12000013,"",18-74,"",All Delay Reasons,d,170,6
17932,201906,S12000013,"",18-74,"",Health and Social Care Reasons,"",104,3
17933,201906,S12000013,"",18-74,"",Patient and Family Related Reasons,"",0,0
17934,201906,S12000013,"",18-74,"",Code 9 AWI,"",0,0
17935,201906,S12000013,"",18-74,"",Code 9 Non-AWI,"",66,2
17936,201906,S12000013,"",75plus,"",All Delay Reasons,d,413,14
17937,201906,S12000013,"",75plus,"",Health and Social Care Reasons,"",133,4
17938,201906,S12000013,"",75plus,"",Patient and Family Related Reasons,"",0,0
17939,201906,S12000013,"",75plus,"",Code 9 AWI,"",0,0
17940,201906,S12000013,"",75plus,"",Code 9 Non-AWI,"",280,9
17941,201906,S12000014,"",18plus,d,All Delay Reasons,d,1710,57
17942,201906,S12000014,"",18plus,d,Health and Social Care Reasons,"",1311,44
17943,201906,S12000014,"",18plus,d,Patient and Family Related Reasons,"",15,1
17944,201906,S12000014,"",18plus,d,Code 9 AWI,"",311,10
17945,201906,S12000014,"",18plus,d,Code 9 Non-AWI,"",73,2
17946,201906,S12000014,"",18-74,"",All Delay Reasons,d,477,16
17947,201906,S12000014,"",18-74,"",Health and Social Care Reasons,"",299,10
17948,201906,S12000014,"",18-74,"",Patient and Family Related Reasons,"",15,1
17949,201906,S12000014,"",18-74,"",Code 9 AWI,"",90,3
17950,201906,S12000014,"",18-74,"",Code 9 Non-AWI,"",73,2
17951,201906,S12000014,"",75plus,"",All Delay Reasons,d,1233,41
17952,201906,S12000014,"",75plus,"",Health and Social Care Reasons,"",1012,34
17953,201906,S12000014,"",75plus,"",Patient and Family Related Reasons,"",0,0
17954,201906,S12000014,"",75plus,"",Code 9 AWI,"",221,7
17955,201906,S12000014,"",75plus,"",Code 9 Non-AWI,"",0,0
17956,201906,S12000017,"",18plus,d,All Delay Reasons,d,3384,113
17957,201906,S12000017,"",18plus,d,Health and Social Care Reasons,"",2543,85
17958,201906,S12000017,"",18plus,d,Patient and Family Related Reasons,"",23,1
17959,201906,S12000017,"",18plus,d,Code 9 AWI,"",627,21
17960,201906,S12000017,"",18plus,d,Code 9 Non-AWI,"",191,6
17961,201906,S12000017,"",18-74,"",All Delay Reasons,d,1002,33
17962,201906,S12000017,"",18-74,"",Health and Social Care Reasons,"",641,21
17963,201906,S12000017,"",18-74,"",Patient and Family Related Reasons,"",19,1
17964,201906,S12000017,"",18-74,"",Code 9 AWI,"",175,6
17965,201906,S12000017,"",18-74,"",Code 9 Non-AWI,"",167,6
17966,201906,S12000017,"",75plus,"",All Delay Reasons,d,2382,79
17967,201906,S12000017,"",75plus,"",Health and Social Care Reasons,"",1902,63
17968,201906,S12000017,"",75plus,"",Patient and Family Related Reasons,"",4,0
17969,201906,S12000017,"",75plus,"",Code 9 AWI,"",452,15
17970,201906,S12000017,"",75plus,"",Code 9 Non-AWI,"",24,1
17971,201906,S12000018,"",18plus,d,All Delay Reasons,d,58,2
17972,201906,S12000018,"",18plus,d,Health and Social Care Reasons,"",58,2
17973,201906,S12000018,"",18plus,d,Patient and Family Related Reasons,"",0,0
17974,201906,S12000018,"",18plus,d,Code 9 AWI,"",0,0
17975,201906,S12000018,"",18plus,d,Code 9 Non-AWI,"",0,0
17976,201906,S12000018,"",18-74,"",All Delay Reasons,d,12,0
17977,201906,S12000018,"",18-74,"",Health and Social Care Reasons,"",12,0
17978,201906,S12000018,"",18-74,"",Patient and Family Related Reasons,"",0,0
17979,201906,S12000018,"",18-74,"",Code 9 AWI,"",0,0
17980,201906,S12000018,"",18-74,"",Code 9 Non-AWI,"",0,0
17981,201906,S12000018,"",75plus,"",All Delay Reasons,d,46,2
17982,201906,S12000018,"",75plus,"",Health and Social Care Reasons,"",46,2
17983,201906,S12000018,"",75plus,"",Patient and Family Related Reasons,"",0,0
17984,201906,S12000018,"",75plus,"",Code 9 AWI,"",0,0
17985,201906,S12000018,"",75plus,"",Code 9 Non-AWI,"",0,0
17986,201906,S12000019,"",18plus,d,All Delay Reasons,d,911,30
17987,201906,S12000019,"",18plus,d,Health and Social Care Reasons,"",870,29
17988,201906,S12000019,"",18plus,d,Patient and Family Related Reasons,"",0,0
17989,201906,S12000019,"",18plus,d,Code 9 AWI,"",41,1
17990,201906,S12000019,"",18plus,d,Code 9 Non-AWI,"",0,0
17991,201906,S12000019,"",18-74,"",All Delay Reasons,d,305,10
17992,201906,S12000019,"",18-74,"",Health and Social Care Reasons,"",305,10
17993,201906,S12000019,"",18-74,"",Patient and Family Related Reasons,"",0,0
17994,201906,S12000019,"",18-74,"",Code 9 AWI,"",0,0
17995,201906,S12000019,"",18-74,"",Code 9 Non-AWI,"",0,0
17996,201906,S12000019,"",75plus,"",All Delay Reasons,d,606,20
17997,201906,S12000019,"",75plus,"",Health and Social Care Reasons,"",565,19
17998,201906,S12000019,"",75plus,"",Patient and Family Related Reasons,"",0,0
17999,201906,S12000019,"",75plus,"",Code 9 AWI,"",41,1
18000,201906,S12000019,"",75plus,"",Code 9 Non-AWI,"",0,0
18001,201906,S12000020,"",18plus,d,All Delay Reasons,d,768,26
18002,201906,S12000020,"",18plus,d,Health and Social Care Reasons,"",614,20
18003,201906,S12000020,"",18plus,d,Patient and Family Related Reasons,"",23,1
18004,201906,S12000020,"",18plus,d,Code 9 AWI,"",131,4
18005,201906,S12000020,"",18plus,d,Code 9 Non-AWI,"",0,0
18006,201906,S12000020,"",18-74,"",All Delay Reasons,d,315,11
18007,201906,S12000020,"",18-74,"",Health and Social Care Reasons,"",224,7
18008,201906,S12000020,"",18-74,"",Patient and Family Related Reasons,"",20,1
18009,201906,S12000020,"",18-74,"",Code 9 AWI,"",71,2
18010,201906,S12000020,"",18-74,"",Code 9 Non-AWI,"",0,0
18011,201906,S12000020,"",75plus,"",All Delay Reasons,d,453,15
18012,201906,S12000020,"",75plus,"",Health and Social Care Reasons,"",390,13
18013,201906,S12000020,"",75plus,"",Patient and Family Related Reasons,"",3,0
18014,201906,S12000020,"",75plus,"",Code 9 AWI,"",60,2
18015,201906,S12000020,"",75plus,"",Code 9 Non-AWI,"",0,0
18016,201906,S12000021,"",18plus,d,All Delay Reasons,d,1675,56
18017,201906,S12000021,"",18plus,d,Health and Social Care Reasons,"",1467,49
18018,201906,S12000021,"",18plus,d,Patient and Family Related Reasons,"",8,0
18019,201906,S12000021,"",18plus,d,Code 9 AWI,"",170,6
18020,201906,S12000021,"",18plus,d,Code 9 Non-AWI,"",30,1
18021,201906,S12000021,"",18-74,"",All Delay Reasons,d,392,13
18022,201906,S12000021,"",18-74,"",Health and Social Care Reasons,"",311,10
18023,201906,S12000021,"",18-74,"",Patient and Family Related Reasons,"",8,0
18024,201906,S12000021,"",18-74,"",Code 9 AWI,"",43,1
18025,201906,S12000021,"",18-74,"",Code 9 Non-AWI,"",30,1
18026,201906,S12000021,"",75plus,"",All Delay Reasons,d,1283,43
18027,201906,S12000021,"",75plus,"",Health and Social Care Reasons,"",1156,39
18028,201906,S12000021,"",75plus,"",Patient and Family Related Reasons,"",0,0
18029,201906,S12000021,"",75plus,"",Code 9 AWI,"",127,4
18030,201906,S12000021,"",75plus,"",Code 9 Non-AWI,"",0,0
18031,201906,S12000023,"",18plus,d,All Delay Reasons,d,31,1
18032,201906,S12000023,"",18plus,d,Health and Social Care Reasons,"",31,1
18033,201906,S12000023,"",18plus,d,Patient and Family Related Reasons,"",0,0
18034,201906,S12000023,"",18plus,d,Code 9 AWI,"",0,0
18035,201906,S12000023,"",18plus,d,Code 9 Non-AWI,"",0,0
18036,201906,S12000023,"",18-74,"",All Delay Reasons,d,0,0
18037,201906,S12000023,"",18-74,"",Health and Social Care Reasons,"",0,0
18038,201906,S12000023,"",18-74,"",Patient and Family Related Reasons,"",0,0
18039,201906,S12000023,"",18-74,"",Code 9 AWI,"",0,0
18040,201906,S12000023,"",18-74,"",Code 9 Non-AWI,"",0,0
18041,201906,S12000023,"",75plus,"",All Delay Reasons,d,31,1
18042,201906,S12000023,"",75plus,"",Health and Social Care Reasons,"",31,1
18043,201906,S12000023,"",75plus,"",Patient and Family Related Reasons,"",0,0
18044,201906,S12000023,"",75plus,"",Code 9 AWI,"",0,0
18045,201906,S12000023,"",75plus,"",Code 9 Non-AWI,"",0,0
18046,201906,S12000026,"",18plus,d,All Delay Reasons,d,1021,34
18047,201906,S12000026,"",18plus,d,Health and Social Care Reasons,"",862,29
18048,201906,S12000026,"",18plus,d,Patient and Family Related Reasons,"",60,2
18049,201906,S12000026,"",18plus,d,Code 9 AWI,"",99,3
18050,201906,S12000026,"",18plus,d,Code 9 Non-AWI,"",0,0
18051,201906,S12000026,"",18-74,"",All Delay Reasons,d,296,10
18052,201906,S12000026,"",18-74,"",Health and Social Care Reasons,"",248,8
18053,201906,S12000026,"",18-74,"",Patient and Family Related Reasons,"",30,1
18054,201906,S12000026,"",18-74,"",Code 9 AWI,"",18,1
18055,201906,S12000026,"",18-74,"",Code 9 Non-AWI,"",0,0
18056,201906,S12000026,"",75plus,"",All Delay Reasons,d,725,24
18057,201906,S12000026,"",75plus,"",Health and Social Care Reasons,"",614,20
18058,201906,S12000026,"",75plus,"",Patient and Family Related Reasons,"",30,1
18059,201906,S12000026,"",75plus,"",Code 9 AWI,"",81,3
18060,201906,S12000026,"",75plus,"",Code 9 Non-AWI,"",0,0
18061,201906,S12000027,"",18plus,d,All Delay Reasons,d,145,5
18062,201906,S12000027,"",18plus,d,Health and Social Care Reasons,"",142,5
