_id,MonthOfDelay,HBT,HBTQF,AgeGroup,AgeGroupQF,ReasonForDelay,ReasonForDelayQF,NumberOfDelayedBedDays,AverageDailyNumberOfDelayedBeds
7921,201906,S08000019,"",18plus,d,All Delay Reasons,d,2819,94
7922,201906,S08000019,"",18plus,d,Health and Social Care Reasons,"",2154,72
7923,201906,S08000019,"",18plus,d,Patient and Family Related Reasons,"",20,1
7924,201906,S08000019,"",18plus,d,Code 9 AWI,"",454,15
7925,201906,S08000019,"",18plus,d,Code 9 Non-AWI,"",191,6
7926,201906,S08000019,"",18-74,"",All Delay Reasons,d,926,31
7927,201906,S08000019,"",18-74,"",Health and Social Care Reasons,"",550,18
7928,201906,S08000019,"",18-74,"",Patient and Family Related Reasons,"",15,1
7929,201906,S08000019,"",18-74,"",Code 9 AWI,"",180,6
7930,201906,S08000019,"",18-74,"",Code 9 Non-AWI,"",181,6
7931,201906,S08000019,"",75plus,"",All Delay Reasons,d,1893,63
7932,201906,S08000019,"",75plus,"",Health and Social Care Reasons,"",1604,53
7933,201906,S08000019,"",75plus,"",Patient and Family Related Reasons,"",5,0
7934,201906,S08000019,"",75plus,"",Code 9 AWI,"",274,9
7935,201906,S08000019,"",75plus,"",Code 9 Non-AWI,"",10,0
7936,201906,S08000020,"",18plus,d,All Delay Reasons,d,2955,99
7937,201906,S08000020,"",18plus,d,Health and Social Care Reasons,"",2475,83
7938,201906,S08000020,"",18plus,d,Patient and Family Related Reasons,"",36,1
7939,201906,S08000020,"",18plus,d,Code 9 AWI,"",351,12
7940,201906,S08000020,"",18plus,d,Code 9 Non-AWI,"",93,3
7941,201906,S08000020,"",18-74,"",All Delay Reasons,d,762,25
7942,201906,S08000020,"",18-74,"",Health and Social Care Reasons,"",517,17
7943,201906,S08000020,"",18-74,"",Patient and Family Related Reasons,"",21,1
7944,201906,S08000020,"",18-74,"",Code 9 AWI,"",161,5
7945,201906,S08000020,"",18-74,"",Code 9 Non-AWI,"",63,2
7946,201906,S08000020,"",75plus,"",All Delay Reasons,d,2193,73
7947,201906,S08000020,"",75plus,"",Health and Social Care Reasons,"",1958,65
7948,201906,S08000020,"",75plus,"",Patient and Family Related Reasons,"",15,1
7949,201906,S08000020,"",75plus,"",Code 9 AWI,"",190,6
7950,201906,S08000020,"",75plus,"",Code 9 Non-AWI,"",30,1
7951,201906,S08000022,"",18plus,d,All Delay Reasons,d,3902,130
7952,201906,S08000022,"",18plus,d,Health and Social Care Reasons,"",2908,97
7953,201906,S08000022,"",18plus,d,Patient and Family Related Reasons,"",68,2
7954,201906,S08000022,"",18plus,d,Code 9 AWI,"",735,25
7955,201906,S08000022,"",18plus,d,Code 9 Non-AWI,"",191,6
7956,201906,S08000022,"",18-74,"",All Delay Reasons,d,1142,38
7957,201906,S08000022,"",18-74,"",Health and Social Care Reasons,"",721,24
7958,201906,S08000022,"",18-74,"",Patient and Family Related Reasons,"",19,1
7959,201906,S08000022,"",18-74,"",Code 9 AWI,"",235,8
7960,201906,S08000022,"",18-74,"",Code 9 Non-AWI,"",167,6
7961,201906,S08000022,"",75plus,"",All Delay Reasons,d,2760,92
7962,201906,S08000022,"",75plus,"",Health and Social Care Reasons,"",2187,73
7963,201906,S08000022,"",75plus,"",Patient and Family Related Reasons,"",49,2
7964,201906,S08000022,"",75plus,"",Code 9 AWI,"",500,17
7965,201906,S08000022,"",75plus,"",Code 9 Non-AWI,"",24,1
7966,201906,S08000024,"",18plus,d,All Delay Reasons,d,7552,252
7967,201906,S08000024,"",18plus,d,Health and Social Care Reasons,"",6371,212
7968,201906,S08000024,"",18plus,d,Patient and Family Related Reasons,"",182,6
7969,201906,S08000024,"",18plus,d,Code 9 AWI,"",949,32
7970,201906,S08000024,"",18plus,d,Code 9 Non-AWI,"",50,2
7971,201906,S08000024,"",18-74,"",All Delay Reasons,d,2432,81
7972,201906,S08000024,"",18-74,"",Health and Social Care Reasons,"",1906,64
7973,201906,S08000024,"",18-74,"",Patient and Family Related Reasons,"",97,3
7974,201906,S08000024,"",18-74,"",Code 9 AWI,"",399,13
7975,201906,S08000024,"",18-74,"",Code 9 Non-AWI,"",30,1
7976,201906,S08000024,"",75plus,"",All Delay Reasons,d,5120,171
7977,201906,S08000024,"",75plus,"",Health and Social Care Reasons,"",4465,149
7978,201906,S08000024,"",75plus,"",Patient and Family Related Reasons,"",85,3
7979,201906,S08000024,"",75plus,"",Code 9 AWI,"",550,18
7980,201906,S08000024,"",75plus,"",Code 9 Non-AWI,"",20,1
7981,201906,S08000025,"",18plus,d,All Delay Reasons,d,1,0
7982,201906,S08000025,"",18plus,d,Health and Social Care Reasons,"",1,0
7983,201906,S08000025,"",18plus,d,Patient and Family Related Reasons,"",0,0
7984,201906,S08000025,"",18plus,d,Code 9 AWI,"",0,0
7985,201906,S08000025,"",18plus,d,Code 9 Non-AWI,"",0,0
7986,201906,S08000025,"",18-74,"",All Delay Reasons,d,0,0
7987,201906,S08000025,"",18-74,"",Health and Social Care Reasons,"",0,0
7988,201906,S08000025,"",18-74,"",Patient and Family Related Reasons,"",0,0
7989,201906,S08000025,"",18-74,"",Code 9 AWI,"",0,0
7990,201906,S08000025,"",18-74,"",Code 9 Non-AWI,"",0,0
7991,201906,S08000025,"",75plus,"",All Delay Reasons,d,1,0
7992,201906,S08000025,"",75plus,"",Health and Social Care Reasons,"",1,0
7993,201906,S08000025,"",75plus,"",Patient and Family Related Reasons,"",0,0
7994,201906,S08000025,"",75plus,"",Code 9 AWI,"",0,0
7995,201906,S08000025,"",75plus,"",Code 9 Non-AWI,"",0,0
7996,201906,S08000026,"",18plus,d,All Delay Reasons,d,145,5
7997,201906,S08000026,"",18plus,d,Health and Social Care Reasons,"",142,5
7998,201906,S08000026,"",18plus,d,Patient and Family Related Reasons,"",0,0
7999,201906,S08000026,"",18plus,d,Code 9 AWI,"",0,0
8000,201906,S08000026,"",18plus,d,Code 9 Non-AWI,"",3,0
8001,201906,S08000026,"",18-74,"",All Delay Reasons,d,59,2
8002,201906,S08000026,"",18-74,"",Health and Social Care Reasons,"",56,2
8003,201906,S08000026,"",18-74,"",Patient and Family Related Reasons,"",0,0
8004,201906,S08000026,"",18-74,"",Code 9 AWI,"",0,0
8005,201906,S08000026,"",18-74,"",Code 9 Non-AWI,"",3,0
8006,201906,S08000026,"",75plus,"",All Delay Reasons,d,86,3
8007,201906,S08000026,"",75plus,"",Health and Social Care Reasons,"",86,3
8008,201906,S08000026,"",75plus,"",Patient and Family Related Reasons,"",0,0
8009,201906,S08000026,"",75plus,"",Code 9 AWI,"",0,0
8010,201906,S08000026,"",75plus,"",Code 9 Non-AWI,"",0,0
8011,201906,S08000028,"",18plus,d,All Delay Reasons,d,565,19
8012,201906,S08000028,"",18plus,d,Health and Social Care Reasons,"",225,8
8013,201906,S08000028,"",18plus,d,Patient and Family Related Reasons,"",0,0
8014,201906,S08000028,"",18plus,d,Code 9 AWI,"",0,0
8015,201906,S08000028,"",18plus,d,Code 9 Non-AWI,"",340,11
8016,201906,S08000028,"",18-74,"",All Delay Reasons,d,152,5
8017,201906,S08000028,"",18-74,"",Health and Social Care Reasons,"",92,3
8018,201906,S08000028,"",18-74,"",Patient and Family Related Reasons,"",0,0
8019,201906,S08000028,"",18-74,"",Code 9 AWI,"",0,0
8020,201906,S08000028,"",18-74,"",Code 9 Non-AWI,"",60,2
8021,201906,S08000028,"",75plus,"",All Delay Reasons,d,413,14
8022,201906,S08000028,"",75plus,"",Health and Social Care Reasons,"",133,4
8023,201906,S08000028,"",75plus,"",Patient and Family Related Reasons,"",0,0
8024,201906,S08000028,"",75plus,"",Code 9 AWI,"",0,0
8025,201906,S08000028,"",75plus,"",Code 9 Non-AWI,"",280,9
8026,201906,S08000029,"",18plus,d,All Delay Reasons,d,2958,99
8027,201906,S08000029,"",18plus,d,Health and Social Care Reasons,"",1913,64
8028,201906,S08000029,"",18plus,d,Patient and Family Related Reasons,"",26,1
8029,201906,S08000029,"",18plus,d,Code 9 AWI,"",752,25
8030,201906,S08000029,"",18plus,d,Code 9 Non-AWI,"",267,9
8031,201906,S08000029,"",18-74,"",All Delay Reasons,d,1553,52
8032,201906,S08000029,"",18-74,"",Health and Social Care Reasons,"",883,29
8033,201906,S08000029,"",18-74,"",Patient and Family Related Reasons,"",6,0
8034,201906,S08000029,"",18-74,"",Code 9 AWI,"",418,14
8035,201906,S08000029,"",18-74,"",Code 9 Non-AWI,"",246,8
8036,201906,S08000029,"",75plus,"",All Delay Reasons,d,1405,47
8037,201906,S08000029,"",75plus,"",Health and Social Care Reasons,"",1030,34
8038,201906,S08000029,"",75plus,"",Patient and Family Related Reasons,"",20,1
8039,201906,S08000029,"",75plus,"",Code 9 AWI,"",334,11
8040,201906,S08000029,"",75plus,"",Code 9 Non-AWI,"",21,1
8041,201906,S08000030,"",18plus,d,All Delay Reasons,d,2145,72
8042,201906,S08000030,"",18plus,d,Health and Social Care Reasons,"",1437,48
8043,201906,S08000030,"",18plus,d,Patient and Family Related Reasons,"",30,1
8044,201906,S08000030,"",18plus,d,Code 9 AWI,"",239,8
8045,201906,S08000030,"",18plus,d,Code 9 Non-AWI,"",439,15
8046,201906,S08000030,"",18-74,"",All Delay Reasons,d,895,30
8047,201906,S08000030,"",18-74,"",Health and Social Care Reasons,"",365,12
8048,201906,S08000030,"",18-74,"",Patient and Family Related Reasons,"",0,0
8049,201906,S08000030,"",18-74,"",Code 9 AWI,"",119,4
8050,201906,S08000030,"",18-74,"",Code 9 Non-AWI,"",411,14
8051,201906,S08000030,"",75plus,"",All Delay Reasons,d,1250,42
8052,201906,S08000030,"",75plus,"",Health and Social Care Reasons,"",1072,36
8053,201906,S08000030,"",75plus,"",Patient and Family Related Reasons,"",30,1
8054,201906,S08000030,"",75plus,"",Code 9 AWI,"",120,4
8055,201906,S08000030,"",75plus,"",Code 9 Non-AWI,"",28,1
8056,201906,S08000031,"",18plus,d,All Delay Reasons,d,5873,196
8057,201906,S08000031,"",18plus,d,Health and Social Care Reasons,"",4045,135
8058,201906,S08000031,"",18plus,d,Patient and Family Related Reasons,"",231,8
8059,201906,S08000031,"",18plus,d,Code 9 AWI,"",1154,38
8060,201906,S08000031,"",18plus,d,Code 9 Non-AWI,"",443,15
8061,201906,S08000031,"",18-74,"",All Delay Reasons,d,2606,87
8062,201906,S08000031,"",18-74,"",Health and Social Care Reasons,"",1488,50
8063,201906,S08000031,"",18-74,"",Patient and Family Related Reasons,"",91,3
8064,201906,S08000031,"",18-74,"",Code 9 AWI,"",594,20
8065,201906,S08000031,"",18-74,"",Code 9 Non-AWI,"",433,14
8066,201906,S08000031,"",75plus,"",All Delay Reasons,d,3267,109
8067,201906,S08000031,"",75plus,"",Health and Social Care Reasons,"",2557,85
8068,201906,S08000031,"",75plus,"",Patient and Family Related Reasons,"",140,5
8069,201906,S08000031,"",75plus,"",Code 9 AWI,"",560,19
8070,201906,S08000031,"",75plus,"",Code 9 Non-AWI,"",10,0
8071,201906,S08000032,"",18plus,d,All Delay Reasons,d,6439,215
8072,201906,S08000032,"",18plus,d,Health and Social Care Reasons,"",5364,179
8073,201906,S08000032,"",18plus,d,Patient and Family Related Reasons,"",68,2
8074,201906,S08000032,"",18plus,d,Code 9 AWI,"",770,26
8075,201906,S08000032,"",18plus,d,Code 9 Non-AWI,"",237,8
8076,201906,S08000032,"",18-74,"",All Delay Reasons,d,2071,69
8077,201906,S08000032,"",18-74,"",Health and Social Care Reasons,"",1556,52
8078,201906,S08000032,"",18-74,"",Patient and Family Related Reasons,"",7,0
8079,201906,S08000032,"",18-74,"",Code 9 AWI,"",315,11
8080,201906,S08000032,"",18-74,"",Code 9 Non-AWI,"",193,6
8081,201906,S08000032,"",75plus,"",All Delay Reasons,d,4368,146
8082,201906,S08000032,"",75plus,"",Health and Social Care Reasons,"",3808,127
8083,201906,S08000032,"",75plus,"",Patient and Family Related Reasons,"",61,2
8084,201906,S08000032,"",75plus,"",Code 9 AWI,"",455,15
8085,201906,S08000032,"",75plus,"",Code 9 Non-AWI,"",44,1
8086,201906,S92000003,d,18plus,d,All Delay Reasons,d,42252,1408
8087,201906,S92000003,d,18plus,d,Health and Social Care Reasons,"",32918,1097
8088,201906,S92000003,d,18plus,d,Patient and Family Related Reasons,"",787,26
8089,201906,S92000003,d,18plus,d,Code 9 AWI,"",6124,204
8090,201906,S92000003,d,18plus,d,Code 9 Non-AWI,"",2423,81
8091,201906,S92000003,d,18-74,"",All Delay Reasons,d,14175,473
8092,201906,S92000003,d,18-74,"",Health and Social Care Reasons,"",9457,315
8093,201906,S92000003,d,18-74,"",Patient and Family Related Reasons,"",314,10
8094,201906,S92000003,d,18-74,"",Code 9 AWI,"",2587,86
8095,201906,S92000003,d,18-74,"",Code 9 Non-AWI,"",1817,61
8096,201906,S92000003,d,75plus,"",All Delay Reasons,d,28077,936
8097,201906,S92000003,d,75plus,"",Health and Social Care Reasons,"",23461,782
8098,201906,S92000003,d,75plus,"",Patient and Family Related Reasons,"",473,16
8099,201906,S92000003,d,75plus,"",Code 9 AWI,"",3537,118
8100,201906,S92000003,d,75plus,"",Code 9 Non-AWI,"",606,20
8101,201907,S08000015,"",18plus,d,All Delay Reasons,d,4681,151
8102,201907,S08000015,"",18plus,d,Health and Social Care Reasons,"",4192,135
8103,201907,S08000015,"",18plus,d,Patient and Family Related Reasons,"",41,1
8104,201907,S08000015,"",18plus,d,Code 9 AWI,"",337,11
8105,201907,S08000015,"",18plus,d,Code 9 Non-AWI,"",111,4
8106,201907,S08000015,"",18-74,"",All Delay Reasons,d,931,30
8107,201907,S08000015,"",18-74,"",Health and Social Care Reasons,"",785,25
8108,201907,S08000015,"",18-74,"",Patient and Family Related Reasons,"",0,0
8109,201907,S08000015,"",18-74,"",Code 9 AWI,"",91,3
8110,201907,S08000015,"",18-74,"",Code 9 Non-AWI,"",55,2
8111,201907,S08000015,"",75plus,"",All Delay Reasons,d,3750,121
8112,201907,S08000015,"",75plus,"",Health and Social Care Reasons,"",3407,110
8113,201907,S08000015,"",75plus,"",Patient and Family Related Reasons,"",41,1
8114,201907,S08000015,"",75plus,"",Code 9 AWI,"",246,8
8115,201907,S08000015,"",75plus,"",Code 9 Non-AWI,"",56,2
8116,201907,S08000016,"",18plus,d,All Delay Reasons,d,1000,32
8117,201907,S08000016,"",18plus,d,Health and Social Care Reasons,"",835,27
8118,201907,S08000016,"",18plus,d,Patient and Family Related Reasons,"",56,2
8119,201907,S08000016,"",18plus,d,Code 9 AWI,"",109,4
8120,201907,S08000016,"",18plus,d,Code 9 Non-AWI,"",0,0
8121,201907,S08000016,"",18-74,"",All Delay Reasons,d,275,9
8122,201907,S08000016,"",18-74,"",Health and Social Care Reasons,"",232,7
8123,201907,S08000016,"",18-74,"",Patient and Family Related Reasons,"",13,0
8124,201907,S08000016,"",18-74,"",Code 9 AWI,"",30,1
8125,201907,S08000016,"",18-74,"",Code 9 Non-AWI,"",0,0
8126,201907,S08000016,"",75plus,"",All Delay Reasons,d,725,23
8127,201907,S08000016,"",75plus,"",Health and Social Care Reasons,"",603,19
8128,201907,S08000016,"",75plus,"",Patient and Family Related Reasons,"",43,1
8129,201907,S08000016,"",75plus,"",Code 9 AWI,"",79,3
8130,201907,S08000016,"",75plus,"",Code 9 Non-AWI,"",0,0
8131,201907,S08000017,"",18plus,d,All Delay Reasons,d,1712,55
8132,201907,S08000017,"",18plus,d,Health and Social Care Reasons,"",1461,47
8133,201907,S08000017,"",18plus,d,Patient and Family Related Reasons,"",70,2
8134,201907,S08000017,"",18plus,d,Code 9 AWI,"",121,4
8135,201907,S08000017,"",18plus,d,Code 9 Non-AWI,"",60,2
8136,201907,S08000017,"",18-74,"",All Delay Reasons,d,492,16
8137,201907,S08000017,"",18-74,"",Health and Social Care Reasons,"",406,13
8138,201907,S08000017,"",18-74,"",Patient and Family Related Reasons,"",11,0
8139,201907,S08000017,"",18-74,"",Code 9 AWI,"",46,1
8140,201907,S08000017,"",18-74,"",Code 9 Non-AWI,"",29,1
8141,201907,S08000017,"",75plus,"",All Delay Reasons,d,1220,39
8142,201907,S08000017,"",75plus,"",Health and Social Care Reasons,"",1055,34
8143,201907,S08000017,"",75plus,"",Patient and Family Related Reasons,"",59,2
8144,201907,S08000017,"",75plus,"",Code 9 AWI,"",75,2
8145,201907,S08000017,"",75plus,"",Code 9 Non-AWI,"",31,1
8146,201907,S08000019,"",18plus,d,All Delay Reasons,d,2652,86
8147,201907,S08000019,"",18plus,d,Health and Social Care Reasons,"",1983,64
8148,201907,S08000019,"",18plus,d,Patient and Family Related Reasons,"",60,2
8149,201907,S08000019,"",18plus,d,Code 9 AWI,"",372,12
8150,201907,S08000019,"",18plus,d,Code 9 Non-AWI,"",237,8
8151,201907,S08000019,"",18-74,"",All Delay Reasons,d,814,26
8152,201907,S08000019,"",18-74,"",Health and Social Care Reasons,"",490,16
8153,201907,S08000019,"",18-74,"",Patient and Family Related Reasons,"",5,0
8154,201907,S08000019,"",18-74,"",Code 9 AWI,"",124,4
8155,201907,S08000019,"",18-74,"",Code 9 Non-AWI,"",195,6
8156,201907,S08000019,"",75plus,"",All Delay Reasons,d,1838,59
8157,201907,S08000019,"",75plus,"",Health and Social Care Reasons,"",1493,48
8158,201907,S08000019,"",75plus,"",Patient and Family Related Reasons,"",55,2
8159,201907,S08000019,"",75plus,"",Code 9 AWI,"",248,8
8160,201907,S08000019,"",75plus,"",Code 9 Non-AWI,"",42,1
8161,201907,S08000020,"",18plus,d,All Delay Reasons,d,3464,112
8162,201907,S08000020,"",18plus,d,Health and Social Care Reasons,"",2831,91
8163,201907,S08000020,"",18plus,d,Patient and Family Related Reasons,"",103,3
8164,201907,S08000020,"",18plus,d,Code 9 AWI,"",416,13
8165,201907,S08000020,"",18plus,d,Code 9 Non-AWI,"",114,4
8166,201907,S08000020,"",18-74,"",All Delay Reasons,d,979,32
8167,201907,S08000020,"",18-74,"",Health and Social Care Reasons,"",659,21
8168,201907,S08000020,"",18-74,"",Patient and Family Related Reasons,"",47,2
8169,201907,S08000020,"",18-74,"",Code 9 AWI,"",167,5
8170,201907,S08000020,"",18-74,"",Code 9 Non-AWI,"",106,3
8171,201907,S08000020,"",75plus,"",All Delay Reasons,d,2485,80
8172,201907,S08000020,"",75plus,"",Health and Social Care Reasons,"",2172,70
8173,201907,S08000020,"",75plus,"",Patient and Family Related Reasons,"",56,2
8174,201907,S08000020,"",75plus,"",Code 9 AWI,"",249,8
8175,201907,S08000020,"",75plus,"",Code 9 Non-AWI,"",8,0
8176,201907,S08000022,"",18plus,d,All Delay Reasons,d,4288,138
8177,201907,S08000022,"",18plus,d,Health and Social Care Reasons,"",3259,105
8178,201907,S08000022,"",18plus,d,Patient and Family Related Reasons,"",100,3
8179,201907,S08000022,"",18plus,d,Code 9 AWI,"",799,26
8180,201907,S08000022,"",18plus,d,Code 9 Non-AWI,"",130,4
8181,201907,S08000022,"",18-74,"",All Delay Reasons,d,1183,38
8182,201907,S08000022,"",18-74,"",Health and Social Care Reasons,"",776,25
8183,201907,S08000022,"",18-74,"",Patient and Family Related Reasons,"",0,0
8184,201907,S08000022,"",18-74,"",Code 9 AWI,"",291,9
8185,201907,S08000022,"",18-74,"",Code 9 Non-AWI,"",116,4
8186,201907,S08000022,"",75plus,"",All Delay Reasons,d,3105,100
8187,201907,S08000022,"",75plus,"",Health and Social Care Reasons,"",2483,80
8188,201907,S08000022,"",75plus,"",Patient and Family Related Reasons,"",100,3
8189,201907,S08000022,"",75plus,"",Code 9 AWI,"",508,16
8190,201907,S08000022,"",75plus,"",Code 9 Non-AWI,"",14,0
8191,201907,S08000024,"",18plus,d,All Delay Reasons,d,8145,263
8192,201907,S08000024,"",18plus,d,Health and Social Care Reasons,"",6791,219
8193,201907,S08000024,"",18plus,d,Patient and Family Related Reasons,"",144,5
8194,201907,S08000024,"",18plus,d,Code 9 AWI,"",1118,36
8195,201907,S08000024,"",18plus,d,Code 9 Non-AWI,"",92,3
8196,201907,S08000024,"",18-74,"",All Delay Reasons,d,2486,80
8197,201907,S08000024,"",18-74,"",Health and Social Care Reasons,"",1957,63
8198,201907,S08000024,"",18-74,"",Patient and Family Related Reasons,"",39,1
8199,201907,S08000024,"",18-74,"",Code 9 AWI,"",410,13
8200,201907,S08000024,"",18-74,"",Code 9 Non-AWI,"",80,3
8201,201907,S08000024,"",75plus,"",All Delay Reasons,d,5659,183
8202,201907,S08000024,"",75plus,"",Health and Social Care Reasons,"",4834,156
8203,201907,S08000024,"",75plus,"",Patient and Family Related Reasons,"",105,3
8204,201907,S08000024,"",75plus,"",Code 9 AWI,"",708,23
8205,201907,S08000024,"",75plus,"",Code 9 Non-AWI,"",12,0
8206,201907,S08000025,"",18plus,d,All Delay Reasons,d,22,1
8207,201907,S08000025,"",18plus,d,Health and Social Care Reasons,"",22,1
8208,201907,S08000025,"",18plus,d,Patient and Family Related Reasons,"",0,0
8209,201907,S08000025,"",18plus,d,Code 9 AWI,"",0,0
8210,201907,S08000025,"",18plus,d,Code 9 Non-AWI,"",0,0
8211,201907,S08000025,"",18-74,"",All Delay Reasons,d,0,0
8212,201907,S08000025,"",18-74,"",Health and Social Care Reasons,"",0,0
8213,201907,S08000025,"",18-74,"",Patient and Family Related Reasons,"",0,0
8214,201907,S08000025,"",18-74,"",Code 9 AWI,"",0,0
8215,201907,S08000025,"",18-74,"",Code 9 Non-AWI,"",0,0
8216,201907,S08000025,"",75plus,"",All Delay Reasons,d,22,1
8217,201907,S08000025,"",75plus,"",Health and Social Care Reasons,"",22,1
8218,201907,S08000025,"",75plus,"",Patient and Family Related Reasons,"",0,0
8219,201907,S08000025,"",75plus,"",Code 9 AWI,"",0,0
8220,201907,S08000025,"",75plus,"",Code 9 Non-AWI,"",0,0
8221,201907,S08000026,"",18plus,d,All Delay Reasons,d,147,5
8222,201907,S08000026,"",18plus,d,Health and Social Care Reasons,"",147,5
8223,201907,S08000026,"",18plus,d,Patient and Family Related Reasons,"",0,0
8224,201907,S08000026,"",18plus,d,Code 9 AWI,"",0,0
8225,201907,S08000026,"",18plus,d,Code 9 Non-AWI,"",0,0
8226,201907,S08000026,"",18-74,"",All Delay Reasons,d,75,2
8227,201907,S08000026,"",18-74,"",Health and Social Care Reasons,"",75,2
8228,201907,S08000026,"",18-74,"",Patient and Family Related Reasons,"",0,0
8229,201907,S08000026,"",18-74,"",Code 9 AWI,"",0,0
8230,201907,S08000026,"",18-74,"",Code 9 Non-AWI,"",0,0
8231,201907,S08000026,"",75plus,"",All Delay Reasons,d,72,2
8232,201907,S08000026,"",75plus,"",Health and Social Care Reasons,"",72,2
8233,201907,S08000026,"",75plus,"",Patient and Family Related Reasons,"",0,0
8234,201907,S08000026,"",75plus,"",Code 9 AWI,"",0,0
8235,201907,S08000026,"",75plus,"",Code 9 Non-AWI,"",0,0
8236,201907,S08000028,"",18plus,d,All Delay Reasons,d,666,21
8237,201907,S08000028,"",18plus,d,Health and Social Care Reasons,"",255,8
8238,201907,S08000028,"",18plus,d,Patient and Family Related Reasons,"",23,1
8239,201907,S08000028,"",18plus,d,Code 9 AWI,"",0,0
8240,201907,S08000028,"",18plus,d,Code 9 Non-AWI,"",388,13
8241,201907,S08000028,"",18-74,"",All Delay Reasons,d,162,5
8242,201907,S08000028,"",18-74,"",Health and Social Care Reasons,"",52,2
8243,201907,S08000028,"",18-74,"",Patient and Family Related Reasons,"",11,0
8244,201907,S08000028,"",18-74,"",Code 9 AWI,"",0,0
8245,201907,S08000028,"",18-74,"",Code 9 Non-AWI,"",99,3
8246,201907,S08000028,"",75plus,"",All Delay Reasons,d,504,16
8247,201907,S08000028,"",75plus,"",Health and Social Care Reasons,"",203,7
8248,201907,S08000028,"",75plus,"",Patient and Family Related Reasons,"",12,0
8249,201907,S08000028,"",75plus,"",Code 9 AWI,"",0,0
8250,201907,S08000028,"",75plus,"",Code 9 Non-AWI,"",289,9
8251,201907,S08000029,"",18plus,d,All Delay Reasons,d,3149,102
8252,201907,S08000029,"",18plus,d,Health and Social Care Reasons,"",2061,66
8253,201907,S08000029,"",18plus,d,Patient and Family Related Reasons,"",93,3
8254,201907,S08000029,"",18plus,d,Code 9 AWI,"",729,24
8255,201907,S08000029,"",18plus,d,Code 9 Non-AWI,"",266,9
8256,201907,S08000029,"",18-74,"",All Delay Reasons,d,1580,51
8257,201907,S08000029,"",18-74,"",Health and Social Care Reasons,"",831,27
8258,201907,S08000029,"",18-74,"",Patient and Family Related Reasons,"",62,2
8259,201907,S08000029,"",18-74,"",Code 9 AWI,"",421,14
8260,201907,S08000029,"",18-74,"",Code 9 Non-AWI,"",266,9
8261,201907,S08000029,"",75plus,"",All Delay Reasons,d,1569,51
8262,201907,S08000029,"",75plus,"",Health and Social Care Reasons,"",1230,40
8263,201907,S08000029,"",75plus,"",Patient and Family Related Reasons,"",31,1
8264,201907,S08000029,"",75plus,"",Code 9 AWI,"",308,10
8265,201907,S08000029,"",75plus,"",Code 9 Non-AWI,"",0,0
8266,201907,S08000030,"",18plus,d,All Delay Reasons,d,2373,77
8267,201907,S08000030,"",18plus,d,Health and Social Care Reasons,"",1680,54
8268,201907,S08000030,"",18plus,d,Patient and Family Related Reasons,"",31,1
8269,201907,S08000030,"",18plus,d,Code 9 AWI,"",221,7
8270,201907,S08000030,"",18plus,d,Code 9 Non-AWI,"",441,14
8271,201907,S08000030,"",18-74,"",All Delay Reasons,d,1080,35
8272,201907,S08000030,"",18-74,"",Health and Social Care Reasons,"",576,19
8273,201907,S08000030,"",18-74,"",Patient and Family Related Reasons,"",0,0
8274,201907,S08000030,"",18-74,"",Code 9 AWI,"",91,3
8275,201907,S08000030,"",18-74,"",Code 9 Non-AWI,"",413,13
8276,201907,S08000030,"",75plus,"",All Delay Reasons,d,1293,42
8277,201907,S08000030,"",75plus,"",Health and Social Care Reasons,"",1104,36
8278,201907,S08000030,"",75plus,"",Patient and Family Related Reasons,"",31,1
8279,201907,S08000030,"",75plus,"",Code 9 AWI,"",130,4
8280,201907,S08000030,"",75plus,"",Code 9 Non-AWI,"",28,1
8281,201907,S08000031,"",18plus,d,All Delay Reasons,d,6014,194
8282,201907,S08000031,"",18plus,d,Health and Social Care Reasons,"",3735,120
8283,201907,S08000031,"",18plus,d,Patient and Family Related Reasons,"",328,11
8284,201907,S08000031,"",18plus,d,Code 9 AWI,"",1430,46
8285,201907,S08000031,"",18plus,d,Code 9 Non-AWI,"",521,17
8286,201907,S08000031,"",18-74,"",All Delay Reasons,d,2482,80
8287,201907,S08000031,"",18-74,"",Health and Social Care Reasons,"",1272,41
8288,201907,S08000031,"",18-74,"",Patient and Family Related Reasons,"",100,3
8289,201907,S08000031,"",18-74,"",Code 9 AWI,"",592,19
8290,201907,S08000031,"",18-74,"",Code 9 Non-AWI,"",518,17
8291,201907,S08000031,"",75plus,"",All Delay Reasons,d,3532,114
8292,201907,S08000031,"",75plus,"",Health and Social Care Reasons,"",2463,79
8293,201907,S08000031,"",75plus,"",Patient and Family Related Reasons,"",228,7
8294,201907,S08000031,"",75plus,"",Code 9 AWI,"",838,27
8295,201907,S08000031,"",75plus,"",Code 9 Non-AWI,"",3,0
8296,201907,S08000032,"",18plus,d,All Delay Reasons,d,7083,228
8297,201907,S08000032,"",18plus,d,Health and Social Care Reasons,"",5999,194
8298,201907,S08000032,"",18plus,d,Patient and Family Related Reasons,"",42,1
8299,201907,S08000032,"",18plus,d,Code 9 AWI,"",657,21
8300,201907,S08000032,"",18plus,d,Code 9 Non-AWI,"",385,12
8301,201907,S08000032,"",18-74,"",All Delay Reasons,d,2533,82
8302,201907,S08000032,"",18-74,"",Health and Social Care Reasons,"",2008,65
8303,201907,S08000032,"",18-74,"",Patient and Family Related Reasons,"",2,0
