date,hbt,hb_name,treatment_location,department_type,number_of_attendances_aggregate,number_meeting_target_aggregate,percent_meeting_target
2020-06-01,S08000031,NHS Greater Glasgow and Clyde,G207H,Minor Injury Unit or Other,1488,1486,99.86559139784946
2020-06-01,S08000031,NHS Greater Glasgow and Clyde,G405H,Emergency Department,6980,6682,95.73065902578797
2020-06-01,S08000031,NHS Greater Glasgow and Clyde,G513H,Emergency Department,2822,2783,98.61800141743444
2020-06-01,S08000022,NHS Highland,C106H,Minor Injury Unit or Other,419,416,99.28400954653938
2020-06-01,S08000022,NHS Highland,C108H,Minor Injury Unit or Other,45,45,100
2020-06-01,S08000022,NHS Highland,C113H,Minor Injury Unit or Other,231,231,100
2020-06-01,S08000022,NHS Highland,C121H,Emergency Department,516,489,94.76744186046511
2020-06-01,S08000022,NHS Highland,C122H,Minor Injury Unit or Other,205,205,100
2020-06-01,S08000022,NHS Highland,H101H,Minor Injury Unit or Other,2,2,100
2020-06-01,S08000022,NHS Highland,H103H,Emergency Department,566,544,96.113074204947
2020-06-01,S08000022,NHS Highland,H106H,Minor Injury Unit or Other,20,20,100
2020-06-01,S08000022,NHS Highland,H202H,Emergency Department,2287,2178,95.23393091386096
2020-06-01,S08000022,NHS Highland,H208H,Minor Injury Unit or Other,163,163,100
2020-06-01,S08000022,NHS Highland,H212H,Emergency Department,532,506,95.11278195488721
2020-06-01,S08000022,NHS Highland,H214H,Minor Injury Unit or Other,273,273,100
2020-06-01,S08000022,NHS Highland,H215H,Minor Injury Unit or Other,19,19,100
2020-06-01,S08000022,NHS Highland,H224H,Minor Injury Unit or Other,253,253,100
2020-06-01,S08000022,NHS Highland,H227B,Minor Injury Unit or Other,39,39,100
2020-06-01,S08000022,NHS Highland,H227H,Minor Injury Unit or Other,45,44,97.77777777777777
2020-06-01,S08000032,NHS Lanarkshire,L106H,Emergency Department,4918,4631,94.16429442862952
2020-06-01,S08000032,NHS Lanarkshire,L302H,Emergency Department,4590,4323,94.18300653594771
2020-06-01,S08000032,NHS Lanarkshire,L308H,Emergency Department,5594,5137,91.83053271362174
2020-06-01,S08000024,NHS Lothian,S108H,Minor Injury Unit or Other,136,136,100
2020-06-01,S08000024,NHS Lothian,S116H,Minor Injury Unit or Other,2681,2496,93.09958970533383
2020-06-01,S08000024,NHS Lothian,S308H,Emergency Department,3981,3789,95.17709118311983
2020-06-01,S08000024,NHS Lothian,S314H,Emergency Department,8355,7877,94.27887492519449
2020-06-01,S08000024,NHS Lothian,S319H,Emergency Department,2584,2524,97.67801857585138
2020-06-01,S08000025,NHS Orkney,R103H,Emergency Department,399,394,98.74686716791979
2020-06-01,S08000026,NHS Shetland,Z102H,Emergency Department,470,461,98.08510638297872
2020-06-01,S08000030,NHS Tayside,T101H,Emergency Department,3479,3413,98.10290313308421
2020-06-01,S08000030,NHS Tayside,T202H,Emergency Department,1594,1551,97.30238393977415
2020-06-01,S08000030,NHS Tayside,T304H,Minor Injury Unit or Other,499,498,99.79959919839679
2020-06-01,S08000030,NHS Tayside,T319H,Minor Injury Unit or Other,252,252,100
2020-06-01,S08000028,NHS Western Isles,W106H,Minor Injury Unit or Other,36,36,100
2020-06-01,S08000028,NHS Western Isles,W107H,Emergency Department,374,368,98.3957219251337
2020-06-01,S08000028,NHS Western Isles,W108H,Minor Injury Unit or Other,86,86,100
2020-07-01,S08000015,NHS Ayrshire and Arran,A101H,Minor Injury Unit or Other,157,155,98.72611464968153
2020-07-01,S08000015,NHS Ayrshire and Arran,A110H,Minor Injury Unit or Other,32,32,100
2020-07-01,S08000015,NHS Ayrshire and Arran,A111H,Emergency Department,5726,5512,96.26266154383514
2020-07-01,S08000015,NHS Ayrshire and Arran,A210H,Emergency Department,2673,2503,93.64010475121586
2020-07-01,S08000015,NHS Ayrshire and Arran,A216H,Minor Injury Unit or Other,41,41,100
2020-07-01,S08000016,NHS Borders,B120H,Emergency Department,2431,2219,91.27930892636775
2020-07-01,S08000017,NHS Dumfries and Galloway,Y144H,Emergency Department,936,870,92.94871794871796
2020-07-01,S08000017,NHS Dumfries and Galloway,Y146H,Emergency Department,2437,2337,95.89659417316373
2020-07-01,S08000029,NHS Fife,F704H,Emergency Department,4790,4542,94.82254697286012
2020-07-01,S08000029,NHS Fife,F708H,Minor Injury Unit or Other,129,129,100
2020-07-01,S08000029,NHS Fife,F709H,Minor Injury Unit or Other,239,239,100
2020-07-01,S08000029,NHS Fife,F805H,Minor Injury Unit or Other,1288,1287,99.9223602484472
2020-07-01,S08000019,NHS Forth Valley,V201H,Minor Injury Unit or Other,2151,2141,99.53509995351
2020-07-01,S08000019,NHS Forth Valley,V217H,Emergency Department,4153,3893,93.73946544666506
2020-07-01,S08000020,NHS Grampian,N101H,Emergency Department,4641,4203,90.56237879767292
2020-07-01,S08000020,NHS Grampian,N121H,Emergency Department,979,960,98.05924412665986
2020-07-01,S08000020,NHS Grampian,N333H,Minor Injury Unit or Other,720,719,99.86111111111111
2020-07-01,S08000020,NHS Grampian,N334H,Minor Injury Unit or Other,404,403,99.75247524752476
2020-07-01,S08000020,NHS Grampian,N335H,Minor Injury Unit or Other,285,284,99.64912280701755
2020-07-01,S08000020,NHS Grampian,N411H,Emergency Department,2030,1889,93.05418719211823
2020-07-01,S08000020,NHS Grampian,N432H,Minor Injury Unit or Other,5,5,100
2020-07-01,S08000031,NHS Greater Glasgow and Clyde,C206H,Minor Injury Unit or Other,1036,1006,97.1042471042471
2020-07-01,S08000031,NHS Greater Glasgow and Clyde,C313H,Emergency Department,2066,1960,94.86931268151017
2020-07-01,S08000031,NHS Greater Glasgow and Clyde,C418H,Emergency Department,4196,3960,94.37559580552907
2020-07-01,S08000031,NHS Greater Glasgow and Clyde,G107H,Emergency Department,6075,5826,95.90123456790124
2020-07-01,S08000031,NHS Greater Glasgow and Clyde,G207H,Minor Injury Unit or Other,1615,1613,99.87616099071207
2020-07-01,S08000031,NHS Greater Glasgow and Clyde,G306H,Minor Injury Unit or Other,1103,1097,99.45602901178604
2020-07-01,S08000031,NHS Greater Glasgow and Clyde,G405H,Emergency Department,7191,6830,94.97983590599361
2020-07-01,S08000031,NHS Greater Glasgow and Clyde,G513H,Emergency Department,2774,2751,99.17087238644557
2020-07-01,S08000022,NHS Highland,C106H,Minor Injury Unit or Other,533,528,99.06191369606003
2020-07-01,S08000022,NHS Highland,C108H,Minor Injury Unit or Other,73,73,100
2020-07-01,S08000022,NHS Highland,C113H,Minor Injury Unit or Other,224,224,100
2020-07-01,S08000022,NHS Highland,C121H,Emergency Department,542,524,96.6789667896679
2020-07-01,S08000022,NHS Highland,C122H,Minor Injury Unit or Other,360,360,100
2020-07-01,S08000022,NHS Highland,H101H,Minor Injury Unit or Other,5,5,100
2020-07-01,S08000022,NHS Highland,H103H,Emergency Department,669,638,95.3662182361734
2020-07-01,S08000022,NHS Highland,H106H,Minor Injury Unit or Other,15,15,100
2020-07-01,S08000022,NHS Highland,H202H,Emergency Department,2742,2608,95.11305616338439
2020-07-01,S08000022,NHS Highland,H208H,Minor Injury Unit or Other,249,249,100
2020-07-01,S08000022,NHS Highland,H212H,Emergency Department,676,650,96.15384615384616
2020-07-01,S08000022,NHS Highland,H214H,Minor Injury Unit or Other,326,325,99.69325153374233
2020-07-01,S08000022,NHS Highland,H215H,Minor Injury Unit or Other,104,104,100
2020-07-01,S08000022,NHS Highland,H224H,Minor Injury Unit or Other,327,327,100
2020-07-01,S08000022,NHS Highland,H227B,Minor Injury Unit or Other,66,66,100
2020-07-01,S08000022,NHS Highland,H227H,Minor Injury Unit or Other,92,91,98.91304347826086
2020-07-01,S08000032,NHS Lanarkshire,L106H,Emergency Department,5072,4670,92.07413249211356
2020-07-01,S08000032,NHS Lanarkshire,L302H,Emergency Department,4760,4474,93.99159663865547
2020-07-01,S08000032,NHS Lanarkshire,L308H,Emergency Department,5695,5231,91.85250219490781
2020-07-01,S08000024,NHS Lothian,S108H,Minor Injury Unit or Other,73,73,100
2020-07-01,S08000024,NHS Lothian,S116H,Minor Injury Unit or Other,2672,2525,94.49850299401199
2020-07-01,S08000024,NHS Lothian,S308H,Emergency Department,4194,4018,95.80352885073916
2020-07-01,S08000024,NHS Lothian,S314H,Emergency Department,9018,8419,93.3577289864715
2020-07-01,S08000024,NHS Lothian,S319H,Emergency Department,3027,2959,97.75355137099439
2020-07-01,S08000025,NHS Orkney,R103H,Emergency Department,467,463,99.14346895074947
2020-07-01,S08000026,NHS Shetland,Z102H,Emergency Department,521,519,99.61612284069098
2020-07-01,S08000030,NHS Tayside,T101H,Emergency Department,4184,4024,96.17590822179733
2020-07-01,S08000030,NHS Tayside,T202H,Emergency Department,1793,1724,96.15170105967653
2020-07-01,S08000030,NHS Tayside,T304H,Minor Injury Unit or Other,647,647,100
2020-07-01,S08000030,NHS Tayside,T319H,Minor Injury Unit or Other,266,266,100
2020-07-01,S08000028,NHS Western Isles,W106H,Minor Injury Unit or Other,26,26,100
2020-07-01,S08000028,NHS Western Isles,W107H,Emergency Department,369,365,98.91598915989161
2020-07-01,S08000028,NHS Western Isles,W108H,Minor Injury Unit or Other,95,94,98.94736842105263
2020-08-01,S08000015,NHS Ayrshire and Arran,A101H,Minor Injury Unit or Other,251,245,97.60956175298804
2020-08-01,S08000015,NHS Ayrshire and Arran,A110H,Minor Injury Unit or Other,80,79,98.75
2020-08-01,S08000015,NHS Ayrshire and Arran,A111H,Emergency Department,5715,5331,93.28083989501312
2020-08-01,S08000015,NHS Ayrshire and Arran,A210H,Emergency Department,3091,2893,93.59430604982207
2020-08-01,S08000015,NHS Ayrshire and Arran,A216H,Minor Injury Unit or Other,66,66,100
2020-08-01,S08000016,NHS Borders,B120H,Emergency Department,2520,2184,86.66666666666667
2020-08-01,S08000017,NHS Dumfries and Galloway,Y144H,Emergency Department,1126,1059,94.04973357015986
2020-08-01,S08000017,NHS Dumfries and Galloway,Y146H,Emergency Department,2893,2700,93.32872450743174
2020-08-01,S08000029,NHS Fife,F704H,Emergency Department,5229,4911,93.91853126792886
2020-08-01,S08000029,NHS Fife,F708H,Minor Injury Unit or Other,133,131,98.49624060150376
2020-08-01,S08000029,NHS Fife,F709H,Minor Injury Unit or Other,219,219,100
2020-08-01,S08000029,NHS Fife,F805H,Minor Injury Unit or Other,1487,1484,99.79825151311366
2020-08-01,S08000019,NHS Forth Valley,V201H,Minor Injury Unit or Other,2460,2444,99.34959349593497
2020-08-01,S08000019,NHS Forth Valley,V217H,Emergency Department,4292,3846,89.60857409133271
2020-08-01,S08000020,NHS Grampian,N101H,Emergency Department,4341,3881,89.40336328035015
2020-08-01,S08000020,NHS Grampian,N121H,Emergency Department,1178,1161,98.55687606112055
2020-08-01,S08000020,NHS Grampian,N333H,Minor Injury Unit or Other,744,744,100
2020-08-01,S08000020,NHS Grampian,N334H,Minor Injury Unit or Other,491,491,100
2020-08-01,S08000020,NHS Grampian,N335H,Minor Injury Unit or Other,280,278,99.28571428571429
2020-08-01,S08000020,NHS Grampian,N411H,Emergency Department,2093,1961,93.69326325848066
2020-08-01,S08000020,NHS Grampian,N432H,Minor Injury Unit or Other,2,2,100
2020-08-01,S08000031,NHS Greater Glasgow and Clyde,C206H,Minor Injury Unit or Other,1198,1172,97.8297161936561
2020-08-01,S08000031,NHS Greater Glasgow and Clyde,C313H,Emergency Department,2276,2109,92.66256590509666
2020-08-01,S08000031,NHS Greater Glasgow and Clyde,C418H,Emergency Department,4654,4325,92.93081220455522
2020-08-01,S08000031,NHS Greater Glasgow and Clyde,G107H,Emergency Department,6447,6136,95.1760508763766
2020-08-01,S08000031,NHS Greater Glasgow and Clyde,G207H,Minor Injury Unit or Other,1817,1816,99.94496422674739
2020-08-01,S08000031,NHS Greater Glasgow and Clyde,G306H,Minor Injury Unit or Other,1932,1919,99.32712215320912
2020-08-01,S08000031,NHS Greater Glasgow and Clyde,G405H,Emergency Department,7395,6624,89.57403651115618
2020-08-01,S08000031,NHS Greater Glasgow and Clyde,G513H,Emergency Department,3151,3094,98.19105046017137
2020-08-01,S08000022,NHS Highland,C106H,Minor Injury Unit or Other,537,537,100
2020-08-01,S08000022,NHS Highland,C108H,Minor Injury Unit or Other,98,96,97.95918367346938
2020-08-01,S08000022,NHS Highland,C113H,Minor Injury Unit or Other,135,135,100
2020-08-01,S08000022,NHS Highland,C121H,Emergency Department,707,693,98.01980198019803
2020-08-01,S08000022,NHS Highland,C122H,Minor Injury Unit or Other,445,445,100
2020-08-01,S08000022,NHS Highland,H101H,Minor Injury Unit or Other,7,7,100
2020-08-01,S08000022,NHS Highland,H103H,Emergency Department,704,675,95.88068181818183
2020-08-01,S08000022,NHS Highland,H106H,Minor Injury Unit or Other,39,39,100
2020-08-01,S08000022,NHS Highland,H202H,Emergency Department,3160,2836,89.74683544303798
2020-08-01,S08000022,NHS Highland,H208H,Minor Injury Unit or Other,293,293,100
2020-08-01,S08000022,NHS Highland,H212H,Emergency Department,893,844,94.51287793952967
2020-08-01,S08000022,NHS Highland,H214H,Minor Injury Unit or Other,387,387,100
2020-08-01,S08000022,NHS Highland,H215H,Minor Injury Unit or Other,112,112,100
2020-08-01,S08000022,NHS Highland,H224H,Minor Injury Unit or Other,343,343,100
2020-08-01,S08000022,NHS Highland,H227B,Minor Injury Unit or Other,89,89,100
2020-08-01,S08000022,NHS Highland,H227H,Minor Injury Unit or Other,127,127,100
2020-08-01,S08000032,NHS Lanarkshire,L106H,Emergency Department,5548,4804,86.58976207642394
2020-08-01,S08000032,NHS Lanarkshire,L302H,Emergency Department,4998,4540,90.83633453381353
2020-08-01,S08000032,NHS Lanarkshire,L308H,Emergency Department,6292,5567,88.47743165924985
2020-08-01,S08000024,NHS Lothian,S108H,Minor Injury Unit or Other,137,137,100
2020-08-01,S08000024,NHS Lothian,S116H,Minor Injury Unit or Other,2937,2709,92.23697650663942
2020-08-01,S08000024,NHS Lothian,S308H,Emergency Department,4623,4372,94.5706251351936
2020-08-01,S08000024,NHS Lothian,S314H,Emergency Department,9638,8536,88.56609255032164
2020-08-01,S08000024,NHS Lothian,S319H,Emergency Department,3801,3697,97.26387792686135
2020-08-01,S08000025,NHS Orkney,R103H,Emergency Department,520,513,98.65384615384616
2020-08-01,S08000026,NHS Shetland,Z102H,Emergency Department,522,514,98.46743295019157
2020-08-01,S08000030,NHS Tayside,T101H,Emergency Department,4422,4175,94.4142921754862
2020-08-01,S08000030,NHS Tayside,T202H,Emergency Department,1954,1854,94.88229273285567
2020-08-01,S08000030,NHS Tayside,T304H,Minor Injury Unit or Other,724,724,100
2020-08-01,S08000030,NHS Tayside,T319H,Minor Injury Unit or Other,324,324,100
2020-08-01,S08000028,NHS Western Isles,W106H,Minor Injury Unit or Other,43,43,100
2020-08-01,S08000028,NHS Western Isles,W107H,Emergency Department,492,483,98.17073170731707
2020-08-01,S08000028,NHS Western Isles,W108H,Minor Injury Unit or Other,129,129,100
2020-09-01,S08000015,NHS Ayrshire and Arran,A101H,Minor Injury Unit or Other,200,192,96
2020-09-01,S08000015,NHS Ayrshire and Arran,A110H,Minor Injury Unit or Other,44,44,100
2020-09-01,S08000015,NHS Ayrshire and Arran,A111H,Emergency Department,5126,4567,89.09481076863051
2020-09-01,S08000015,NHS Ayrshire and Arran,A210H,Emergency Department,2741,2545,92.84932506384531
2020-09-01,S08000015,NHS Ayrshire and Arran,A216H,Minor Injury Unit or Other,65,65,100
2020-09-01,S08000016,NHS Borders,B120H,Emergency Department,2493,2133,85.5595667870036
2020-09-01,S08000017,NHS Dumfries and Galloway,Y144H,Emergency Department,937,878,93.7033084311633
2020-09-01,S08000017,NHS Dumfries and Galloway,Y146H,Emergency Department,2448,2304,94.11764705882352
2020-09-01,S08000029,NHS Fife,F704H,Emergency Department,4882,4643,95.10446538303974
2020-09-01,S08000029,NHS Fife,F708H,Minor Injury Unit or Other,134,133,99.25373134328358
2020-09-01,S08000029,NHS Fife,F709H,Minor Injury Unit or Other,285,283,99.29824561403508
2020-09-01,S08000029,NHS Fife,F805H,Minor Injury Unit or Other,1488,1487,99.93279569892472
2020-09-01,S08000019,NHS Forth Valley,V201H,Minor Injury Unit or Other,2081,2076,99.75973089860643
2020-09-01,S08000019,NHS Forth Valley,V217H,Emergency Department,3979,3439,86.42875094244785
2020-09-01,S08000020,NHS Grampian,N101H,Emergency Department,4210,3755,89.19239904988123
2020-09-01,S08000020,NHS Grampian,N121H,Emergency Department,1243,1214,97.66693483507642
2020-09-01,S08000020,NHS Grampian,N333H,Minor Injury Unit or Other,798,798,100
2020-09-01,S08000020,NHS Grampian,N334H,Minor Injury Unit or Other,497,497,100
2020-09-01,S08000020,NHS Grampian,N335H,Minor Injury Unit or Other,276,273,98.91304347826086
2020-09-01,S08000020,NHS Grampian,N411H,Emergency Department,1876,1781,94.9360341151386
2020-09-01,S08000031,NHS Greater Glasgow and Clyde,C206H,Minor Injury Unit or Other,1177,1162,98.72557349192863
2020-09-01,S08000031,NHS Greater Glasgow and Clyde,C313H,Emergency Department,2025,1889,93.28395061728395
2020-09-01,S08000031,NHS Greater Glasgow and Clyde,C418H,Emergency Department,4359,4018,92.17710484055976
2020-09-01,S08000031,NHS Greater Glasgow and Clyde,G107H,Emergency Department,6152,5708,92.78283485045513
2020-09-01,S08000031,NHS Greater Glasgow and Clyde,G207H,Minor Injury Unit or Other,1830,1830,100
2020-09-01,S08000031,NHS Greater Glasgow and Clyde,G306H,Minor Injury Unit or Other,1844,1837,99.62039045553145
2020-09-01,S08000031,NHS Greater Glasgow and Clyde,G405H,Emergency Department,6868,6162,89.72044263249855
2020-09-01,S08000031,NHS Greater Glasgow and Clyde,G513H,Emergency Department,4228,4149,98.13150425733207
2020-09-01,S08000022,NHS Highland,C106H,Minor Injury Unit or Other,480,479,99.79166666666667
2020-09-01,S08000022,NHS Highland,C108H,Minor Injury Unit or Other,66,65,98.48484848484848
2020-09-01,S08000022,NHS Highland,C113H,Minor Injury Unit or Other,323,323,100
2020-09-01,S08000022,NHS Highland,C121H,Emergency Department,629,605,96.18441971383149
2020-09-01,S08000022,NHS Highland,C122H,Minor Injury Unit or Other,372,365,98.11827956989248
2020-09-01,S08000022,NHS Highland,H101H,Minor Injury Unit or Other,7,7,100
2020-09-01,S08000022,NHS Highland,H103H,Emergency Department,678,635,93.65781710914455
2020-09-01,S08000022,NHS Highland,H106H,Minor Injury Unit or Other,22,22,100
2020-09-01,S08000022,NHS Highland,H202H,Emergency Department,2748,2486,90.46579330422125
2020-09-01,S08000022,NHS Highland,H208H,Minor Injury Unit or Other,172,172,100
2020-09-01,S08000022,NHS Highland,H212H,Emergency Department,632,606,95.88607594936708
2020-09-01,S08000022,NHS Highland,H214H,Minor Injury Unit or Other,336,335,99.70238095238095
2020-09-01,S08000022,NHS Highland,H215H,Minor Injury Unit or Other,72,72,100
2020-09-01,S08000022,NHS Highland,H224H,Minor Injury Unit or Other,291,291,100
2020-09-01,S08000022,NHS Highland,H227B,Minor Injury Unit or Other,58,58,100
2020-09-01,S08000022,NHS Highland,H227H,Minor Injury Unit or Other,139,139,100
2020-09-01,S08000032,NHS Lanarkshire,L106H,Emergency Department,5209,4456,85.54425033595699
2020-09-01,S08000032,NHS Lanarkshire,L302H,Emergency Department,4839,4291,88.67534614589792
2020-09-01,S08000032,NHS Lanarkshire,L308H,Emergency Department,5850,5206,88.99145299145299
2020-09-01,S08000024,NHS Lothian,S108H,Minor Injury Unit or Other,59,59,100
2020-09-01,S08000024,NHS Lothian,S116H,Minor Injury Unit or Other,3068,2743,89.40677966101694
2020-09-01,S08000024,NHS Lothian,S308H,Emergency Department,4352,3996,91.81985294117648
2020-09-01,S08000024,NHS Lothian,S314H,Emergency Department,9224,7925,85.91717259323504
2020-09-01,S08000024,NHS Lothian,S319H,Emergency Department,3767,3659,97.13299707990444
2020-09-01,S08000025,NHS Orkney,R103H,Emergency Department,506,499,98.61660079051383
2020-09-01,S08000026,NHS Shetland,Z102H,Emergency Department,467,460,98.50107066381156
2020-09-01,S08000030,NHS Tayside,T101H,Emergency Department,4193,3946,94.1092296684951
2020-09-01,S08000030,NHS Tayside,T202H,Emergency Department,1844,1780,96.52928416485899
2020-09-01,S08000030,NHS Tayside,T304H,Minor Injury Unit or Other,698,698,100
2020-09-01,S08000030,NHS Tayside,T319H,Minor Injury Unit or Other,334,334,100
2020-09-01,S08000028,NHS Western Isles,W106H,Minor Injury Unit or Other,31,31,100
2020-09-01,S08000028,NHS Western Isles,W107H,Emergency Department,384,374,97.39583333333334
2020-09-01,S08000028,NHS Western Isles,W108H,Minor Injury Unit or Other,94,93,98.93617021276596
2020-10-01,S08000015,NHS Ayrshire and Arran,A101H,Minor Injury Unit or Other,137,134,97.8102189781022
2020-10-01,S08000015,NHS Ayrshire and Arran,A110H,Minor Injury Unit or Other,50,50,100
2020-10-01,S08000015,NHS Ayrshire and Arran,A111H,Emergency Department,4628,4025,86.97061365600692
2020-10-01,S08000015,NHS Ayrshire and Arran,A210H,Emergency Department,2515,2093,83.220675944334
2020-10-01,S08000015,NHS Ayrshire and Arran,A216H,Minor Injury Unit or Other,46,46,100
2020-10-01,S08000016,NHS Borders,B120H,Emergency Department,2167,1924,88.7863405629903
2020-10-01,S08000017,NHS Dumfries and Galloway,Y144H,Emergency Department,821,768,93.54445797807551
2020-10-01,S08000017,NHS Dumfries and Galloway,Y146H,Emergency Department,2319,2160,93.14359637774902
2020-10-01,S08000029,NHS Fife,F704H,Emergency Department,4612,4252,92.19427580225499
2020-10-01,S08000029,NHS Fife,F708H,Minor Injury Unit or Other,117,116,99.14529914529915
2020-10-01,S08000029,NHS Fife,F709H,Minor Injury Unit or Other,201,201,100
2020-10-01,S08000029,NHS Fife,F805H,Minor Injury Unit or Other,1201,1200,99.91673605328893
2020-10-01,S08000019,NHS Forth Valley,V201H,Minor Injury Unit or Other,1797,1794,99.8330550918197
2020-10-01,S08000019,NHS Forth Valley,V217H,Emergency Department,3806,3472,91.22438255386233
2020-10-01,S08000020,NHS Grampian,N101H,Emergency Department,4081,3472,85.07718696397941
2020-10-01,S08000020,NHS Grampian,N121H,Emergency Department,970,956,98.55670103092784
2020-10-01,S08000020,NHS Grampian,N333H,Minor Injury Unit or Other,656,656,100
2020-10-01,S08000020,NHS Grampian,N334H,Minor Injury Unit or Other,416,414,99.51923076923077
2020-10-01,S08000020,NHS Grampian,N335H,Minor Injury Unit or Other,219,219,100
2020-10-01,S08000020,NHS Grampian,N411H,Emergency Department,1795,1599,89.08077994428969
2020-10-01,S08000031,NHS Greater Glasgow and Clyde,C206H,Minor Injury Unit or Other,997,980,98.29488465396189
2020-10-01,S08000031,NHS Greater Glasgow and Clyde,C313H,Emergency Department,1991,1825,91.66248116524359
2020-10-01,S08000031,NHS Greater Glasgow and Clyde,C418H,Emergency Department,4098,3557,86.7984382625671
2020-10-01,S08000031,NHS Greater Glasgow and Clyde,G107H,Emergency Department,5915,5001,84.54775993237533
2020-10-01,S08000031,NHS Greater Glasgow and Clyde,G207H,Minor Injury Unit or Other,1206,1205,99.91708126036484
2020-10-01,S08000031,NHS Greater Glasgow and Clyde,G306H,Minor Injury Unit or Other,1619,1617,99.87646695491044
2020-10-01,S08000031,NHS Greater Glasgow and Clyde,G405H,Emergency Department,6631,5337,80.4855979490273
2020-10-01,S08000031,NHS Greater Glasgow and Clyde,G513H,Emergency Department,3799,3755,98.84180047380889
2020-10-01,S08000022,NHS Highland,C106H,Minor Injury Unit or Other,480,480,100
2020-10-01,S08000022,NHS Highland,C108H,Minor Injury Unit or Other,76,75,98.68421052631578
2020-10-01,S08000022,NHS Highland,C113H,Minor Injury Unit or Other,277,277,100
2020-10-01,S08000022,NHS Highland,C121H,Emergency Department,606,579,95.54455445544554
2020-10-01,S08000022,NHS Highland,C122H,Minor Injury Unit or Other,464,457,98.49137931034483
2020-10-01,S08000022,NHS Highland,H101H,Minor Injury Unit or Other,14,14,100
2020-10-01,S08000022,NHS Highland,H103H,Emergency Department,590,554,93.89830508474576
2020-10-01,S08000022,NHS Highland,H106H,Minor Injury Unit or Other,26,26,100
2020-10-01,S08000022,NHS Highland,H202H,Emergency Department,2438,2172,89.08941755537325
2020-10-01,S08000022,NHS Highland,H208H,Minor Injury Unit or Other,213,213,100
2020-10-01,S08000022,NHS Highland,H212H,Emergency Department,559,531,94.99105545617174
2020-10-01,S08000022,NHS Highland,H214H,Minor Injury Unit or Other,351,349,99.43019943019942
2020-10-01,S08000022,NHS Highland,H215H,Minor Injury Unit or Other,75,75,100
2020-10-01,S08000022,NHS Highland,H219H,Minor Injury Unit or Other,66,66,100
2020-10-01,S08000022,NHS Highland,H224H,Minor Injury Unit or Other,260,248,95.38461538461539
2020-10-01,S08000022,NHS Highland,H227B,Minor Injury Unit or Other,66,66,100
2020-10-01,S08000022,NHS Highland,H227H,Minor Injury Unit or Other,139,139,100
2020-10-01,S08000032,NHS Lanarkshire,L106H,Emergency Department,4910,3956,80.57026476578412
2020-10-01,S08000032,NHS Lanarkshire,L302H,Emergency Department,4439,3598,81.05429150709618
2020-10-01,S08000032,NHS Lanarkshire,L308H,Emergency Department,5648,4858,86.01274787535411
2020-10-01,S08000024,NHS Lothian,S108H,Minor Injury Unit or Other,66,66,100
2020-10-01,S08000024,NHS Lothian,S116H,Minor Injury Unit or Other,2905,2601,89.53528399311533
2020-10-01,S08000024,NHS Lothian,S308H,Emergency Department,4099,3633,88.63137350573311
2020-10-01,S08000024,NHS Lothian,S314H,Emergency Department,8863,7683,86.68622362631163
2020-10-01,S08000024,NHS Lothian,S319H,Emergency Department,3395,3306,97.37849779086892
2020-10-01,S08000025,NHS Orkney,R103H,Emergency Department,454,425,93.6123348017621
2020-10-01,S08000026,NHS Shetland,Z102H,Emergency Department,443,439,99.09706546275395
2020-10-01,S08000030,NHS Tayside,T101H,Emergency Department,3761,3628,96.4637064610476
2020-10-01,S08000030,NHS Tayside,T202H,Emergency Department,1525,1503,98.55737704918033
2020-10-01,S08000030,NHS Tayside,T304H,Minor Injury Unit or Other,585,585,100
2020-10-01,S08000030,NHS Tayside,T319H,Minor Injury Unit or Other,304,304,100
2020-10-01,S08000028,NHS Western Isles,W106H,Minor Injury Unit or Other,36,36,100
2020-10-01,S08000028,NHS Western Isles,W107H,Emergency Department,406,393,96.79802955665025
2020-10-01,S08000028,NHS Western Isles,W108H,Minor Injury Unit or Other,57,57,100
2020-11-01,S08000015,NHS Ayrshire and Arran,A101H,Minor Injury Unit or Other,136,130,95.58823529411765
2020-11-01,S08000015,NHS Ayrshire and Arran,A110H,Minor Injury Unit or Other,55,54,98.18181818181819
2020-11-01,S08000015,NHS Ayrshire and Arran,A111H,Emergency Department,3689,3073,83.30170777988614
2020-11-01,S08000015,NHS Ayrshire and Arran,A210H,Emergency Department,1985,1497,75.41561712846348
2020-11-01,S08000015,NHS Ayrshire and Arran,A216H,Minor Injury Unit or Other,43,43,100
2020-11-01,S08000016,NHS Borders,B118H,Minor Injury Unit or Other,36,36,100
2020-11-01,S08000016,NHS Borders,B120H,Emergency Department,2123,1859,87.56476683937824
2020-11-01,S08000017,NHS Dumfries and Galloway,Y144H,Emergency Department,822,751,91.36253041362531
2020-11-01,S08000017,NHS Dumfries and Galloway,Y146H,Emergency Department,2261,2119,93.71959310039806
2020-11-01,S08000029,NHS Fife,F704H,Emergency Department,4165,3748,89.98799519807923
2020-11-01,S08000029,NHS Fife,F708H,Minor Injury Unit or Other,104,101,97.11538461538461
2020-11-01,S08000029,NHS Fife,F709H,Minor Injury Unit or Other,210,210,100
2020-11-01,S08000029,NHS Fife,F805H,Minor Injury Unit or Other,1149,1143,99.47780678851174
2020-11-01,S08000019,NHS Forth Valley,V201H,Minor Injury Unit or Other,1461,1459,99.86310746064339
